 Procedimentos hospitalares do SUS - por local de residência - Brasil
Média permanência por Município e Subgrupo proced.
Período:Jan-Mar/2019
"Município";"0201 Coleta de material";"0209 Diagnóstico por endoscopia";"0211 Métodos diagnósticos em especialidades";"0301 Consultas / Atendimentos / Acompanhamentos";"0303 Tratamentos clínicos (outras especialidades)";"0304 Tratamento em oncologia";"0305 Tratamento em nefrologia";"0308 Tratamento de lesões, envenenamentos e outros, decorrentes de causas externas";"0310 Parto e nascimento";"0401 Pequenas cirurgias e cirurgias de pele, tecido subcutâneo e mucosa";"0402 Cirurgia de glândulas endócrinas";"0403 Cirurgia do sistema nervoso central e periférico";"0404 Cirurgia das vias aéreas superiores, da face, da cabeça e do pescoço";"0405 Cirurgia do aparelho da visão";"0406 Cirurgia do aparelho circulatório";"0407 Cirurgia do aparelho digestivo, orgãos anexos e parede abdominal";"0408 Cirurgia do sistema osteomuscular";"0409 Cirurgia do aparelho geniturinário";"0410 Cirurgia de mama";"0411 Cirurgia obstétrica";"0412 Cirurgia torácica";"0413 Cirurgia reparadora";"0414 Bucomaxilofacial";"0415 Outras cirurgias";"0416 Cirurgia em oncologia";"0501 Coleta e exames para fins de doação de orgãos, tecidos e células e de transplante";"0503 Ações relacionadas à doação de orgãos e tecidos para transplante";"0504 Processamento de tecidos para transplante";"0505 Transplante de orgãos, tecidos e células";"0506 Acompanhamento e intercorrências no pré e pós-transplante";"Total"
"110001 ALTA FLORESTA D'OESTE";...;...;...;2,7;3,7;2,3;2,0;5,0;1,8;-;...;14,0;19,8;...;9,3;3,3;3,9;2,2;...;2,4;26,0;...;...;5,5;5,0;...;-;...;...;5,0;3,7
"110002 ARIQUEMES";...;...;...;0,8;5,7;3,4;6,0;9,3;1,4;9,8;...;10,8;8,0;0,2;7,4;3,3;4,6;1,7;2,0;2,1;7,3;4,3;...;6,2;11,7;...;-;...;1,5;-;4,2
"110003 CABIXI";...;...;...;2,3;4,0;4,5;4,0;1,0;1,6;...;...;...;6,0;...;10,0;8,4;5,6;2,0;...;5,2;...;18,0;...;8,5;5,0;...;...;...;...;...;4,3
"110004 CACOAL";4,0;...;...;1,9;4,7;4,9;4,2;6,7;2,0;6,7;1,3;9,0;14,9;1,0;7,3;3,7;6,2;2,3;2,0;2,5;6,0;...;1,0;12,1;1,7;...;0,5;...;1,0;4,0;4,7
"110005 CEREJEIRAS";...;...;...;2,8;4,4;6,7;3,2;14,7;1,8;1,0;...;13,0;11,0;2,0;9,0;2,3;12,3;1,5;-;2,1;14,0;...;...;12,0;0,3;...;...;...;...;22,0;4,7
"110006 COLORADO DO OESTE";...;...;...;3,3;3,5;4,8;2,6;4,0;1,5;...;3,0;...;8,3;1,0;1,0;2,6;5,5;2,9;...;1,6;5,0;...;...;6,3;-;...;...;...;...;...;3,4
"110007 CORUMBIARA";...;...;...;3,5;5,6;...;3,5;7,7;1,0;...;...;...;...;-;...;4,3;1,8;2,3;...;1,9;...;...;...;18,5;...;...;...;...;...;...;4,4
"110008 COSTA MARQUES";...;...;...;0,7;2,6;4,0;11,0;1,6;1,1;...;...;22,0;14,7;...;16,0;5,3;3,5;1,5;...;2,2;1,0;...;...;13,0;3,0;...;...;...;...;...;2,7
"110009 ESPIGAO D'OESTE";...;...;...;3,4;4,1;5,9;3,3;6,3;1,6;10,0;...;11,3;5,3;...;2,0;2,3;5,0;3,5;1,0;3,1;5,0;...;-;6,3;1,0;...;-;...;...;-;4,1
"110010 GUAJARA-MIRIM";...;...;...;1,8;6,9;12,3;4,3;9,1;1,6;11,8;2,5;8,3;3,2;1,0;-;5,6;7,3;4,3;4,0;3,0;7,8;...;...;8,1;2,5;...;...;...;-;...;5,7
