 Procedimentos hospitalares do SUS - por local de residência - Brasil
Média permanência por Município e Subgrupo proced.
Período:Out-Dez/2019
"Município";"0201 Coleta de material";"0209 Diagnóstico por endoscopia";"0211 Métodos diagnósticos em especialidades";"0301 Consultas / Atendimentos / Acompanhamentos";"0303 Tratamentos clínicos (outras especialidades)";"0304 Tratamento em oncologia";"0305 Tratamento em nefrologia";"0308 Tratamento de lesões, envenenamentos e outros, decorrentes de causas externas";"0310 Parto e nascimento";"0401 Pequenas cirurgias e cirurgias de pele, tecido subcutâneo e mucosa";"0402 Cirurgia de glândulas endócrinas";"0403 Cirurgia do sistema nervoso central e periférico";"0404 Cirurgia das vias aéreas superiores, da face, da cabeça e do pescoço";"0405 Cirurgia do aparelho da visão";"0406 Cirurgia do aparelho circulatório";"0407 Cirurgia do aparelho digestivo, orgãos anexos e parede abdominal";"0408 Cirurgia do sistema osteomuscular";"0409 Cirurgia do aparelho geniturinário";"0410 Cirurgia de mama";"0411 Cirurgia obstétrica";"0412 Cirurgia torácica";"0413 Cirurgia reparadora";"0414 Bucomaxilofacial";"0415 Outras cirurgias";"0416 Cirurgia em oncologia";"0501 Coleta e exames para fins de doação de orgãos, tecidos e células e de transplante";"0503 Ações relacionadas à doação de orgãos e tecidos para transplante";"0504 Processamento de tecidos para transplante";"0505 Transplante de orgãos, tecidos e células";"0506 Acompanhamento e intercorrências no pré e pós-transplante";"Total"
"110001 ALTA FLORESTA D'OESTE";...;...;...;1,1;3,5;5,2;2,3;4,5;15,1;1,6;...;11,0;8,5;-;10,5;2,4;6,7;1,8;...;4,5;4,5;...;1,0;4,3;2,3;...;...;...;...;...;3,8
"110002 ARIQUEMES";...;...;...;0,7;4,7;6,1;7,3;5,3;1,4;3,0;...;3,3;9,1;0,1;7,6;4,0;6,0;1,7;1,5;2,2;4,5;6,6;...;6,6;3,6;...;...;...;1,0;14,0;4,2
"110003 CABIXI";...;...;...;4,6;2,9;8,0;2,5;...;1,0;...;...;...;...;...;17,0;4,3;4,9;...;...;3,1;...;...;...;8,0;...;...;...;...;...;...;3,4
"110004 CACOAL";...;...;8,0;1,9;5,1;4,6;7,5;6,1;2,0;3,0;1,0;8,8;3,2;4,0;9,7;4,3;8,4;2,4;2,0;2,3;17,2;3,8;2,0;8,2;3,4;...;-;...;11,0;...;4,8
"110005 CEREJEIRAS";...;...;...;2,4;3,9;11,7;3,3;10,0;1,4;-;2,0;5,5;4,5;-;-;4,8;13,3;6,7;...;2,8;5,0;...;...;7,8;-;...;...;...;...;...;4,5
"110006 COLORADO DO OESTE";...;...;...;2,2;4,6;2,3;4,6;2,0;1,3;3,0;...;6,0;11,0;14,5;...;3,3;6,8;3,3;...;1,9;8,0;24,0;...;5,7;9,0;...;...;...;...;...;4,4
"110007 CORUMBIARA";...;...;...;2,9;3,5;...;...;6,0;1,1;...;...;...;...;...;...;3,0;8,1;3,5;...;1,5;...;...;...;...;-;...;...;...;...;...;3,2
"110008 COSTA MARQUES";...;...;...;2,5;4,4;3,0;3,0;3,2;1,1;-;...;...;13,0;-;...;1,9;9,5;6,2;...;2,9;-;...;2,0;6,4;-;...;...;...;...;...;4,1
"110009 ESPIGAO D'OESTE";...;...;...;2,3;3,1;6,5;8,3;5,2;2,3;0,5;2,0;11,0;6,2;...;12,5;3,6;4,5;2,1;2,0;3,5;11,5;5,0;1,0;21,6;2,3;...;...;...;...;...;3,7
"110010 GUAJARA-MIRIM";...;...;...;2,1;5,4;8,4;14,0;7,6;1,8;1,0;4,0;13,2;1,5;-;0,5;3,8;6,7;3,9;4,0;2,7;...;-;...;6,0;2,0;...;-;...;...;11,0;4,9
"110011 JARU";...;...;...;1,1;4,8;5,8;7,0;4,2;2,2;0,0;...;14,8;8,0;0,1;12,6;1,6;7,2;1,6;3,0;2,0;3,3;...;...;8,6;7,3;...;-;...;7,0;3,0;3,6
"110012 JI-PARANA";...;...;...;2,0;5,0;4,5;3,5;5,6;1,7;1,8;3,0;19,9;2,1;-;9,5;4,4;7,4;1,6;1,2;2,7;9,3;...;-;8,0;2,4;...;2,0;...;7,5;12,0;4,1
"110013 MACHADINHO D'OESTE";...;...;...;0,5;5,0;8,4;3,2;7,4;1,3;9,0;...;5,4;13,0;-;16,0;1,8;6,9;2,7;3,0;2,2;13,0;7,3;...;4,9;1,0;...;-;-;...;...;4,6
"110014 NOVA BRASILANDIA D'OESTE";...;...;...;1,8;3,8;3,8;2,3;5,1;1,5;1,0;1,0;4,0;2,0;-;51,5;2,0;4,6;2,5;2,0;2,0;...;...;...;6,8;5,5;...;...;...;1,0;...;3,4
"110015 OURO PRETO DO OESTE";...;...;...;1,1;4,5;3,3;3,3;6,5;1,5;2,0;1,5;3,0;5,0;...;7,7;1,8;7,6;1,3;2,0;2,1;6,7;...;...;7,3;1,0;6,0;...;...;2,0;...;4,0
"110018 PIMENTA BUENO";...;...;...;2,4;2,9;4,4;5,1;2,6;1,3;1,0;...;1,0;5,0;-;1,3;3,8;7,1;1,6;...;2,0;4,5;4,8;2,0;5,7;4,3;...;-;...;...;...;3,0
"110020 PORTO VELHO";17,1;-;...;2,7;9,9;7,5;8,7;7,2;2,1;3,8;2,0;9,7;5,8;0,5;11,1;4,9;7,7;2,8;3,6;2,8;12,5;5,7;1,0;7,0;4,6;2,0;-;...;8,7;5,5;6,9
"110025 PRESIDENTE MEDICI";...;...;7,0;1,6;6,6;3,6;6,3;6,8;1,4;1,0;1,0;2,0;1,0;17,0;13,0;2,8;8,7;2,6;2,3;3,4;...;...;1,0;13,0;6,0;...;-;...;...;...;5,1
"110026 RIO CRESPO";-;...;...;1,1;6,6;...;2,0;10,2;1,0;-;...;...;...;...;...;1,0;9,5;8,5;...;3,0;...;...;...;7,3;...;...;...;...;...;...;3,8
"110028 ROLIM DE MOURA";...;...;...;1,2;3,3;5,4;14,5;3,6;1,9;3,5;1,0;12,0;2,0;-;8,5;3,0;6,8;2,3;...;2,4;9,7;2,0;...;4,9;1,4;...;3,0;...;24,0;-;3,1
