 Procedimentos hospitalares do SUS - por local de residência - Brasil
Média permanência por Município e Subgrupo proced.
Período:Jul-Set/2020
"Município";"0201 Coleta de material";"0209 Diagnóstico por endoscopia";"0211 Métodos diagnósticos em especialidades";"0301 Consultas / Atendimentos / Acompanhamentos";"0303 Tratamentos clínicos (outras especialidades)";"0304 Tratamento em oncologia";"0305 Tratamento em nefrologia";"0308 Tratamento de lesões, envenenamentos e outros, decorrentes de causas externas";"0310 Parto e nascimento";"0401 Pequenas cirurgias e cirurgias de pele, tecido subcutâneo e mucosa";"0402 Cirurgia de glândulas endócrinas";"0403 Cirurgia do sistema nervoso central e periférico";"0404 Cirurgia das vias aéreas superiores, da face, da cabeça e do pescoço";"0405 Cirurgia do aparelho da visão";"0406 Cirurgia do aparelho circulatório";"0407 Cirurgia do aparelho digestivo, orgãos anexos e parede abdominal";"0408 Cirurgia do sistema osteomuscular";"0409 Cirurgia do aparelho geniturinário";"0410 Cirurgia de mama";"0411 Cirurgia obstétrica";"0412 Cirurgia torácica";"0413 Cirurgia reparadora";"0414 Bucomaxilofacial";"0415 Outras cirurgias";"0416 Cirurgia em oncologia";"0501 Coleta e exames para fins de doação de orgãos, tecidos e células e de transplante";"0503 Ações relacionadas à doação de orgãos e tecidos para transplante";"0505 Transplante de orgãos, tecidos e células";"0506 Acompanhamento e intercorrências no pré e pós-transplante";"Total"
"110001 ALTA FLORESTA D'OESTE";...;...;...;2,0;3,6;3,3;4,1;4,8;1,5;...;...;...;...;...;9,0;4,4;3,3;2,7;...;2,2;8,0;...;...;9,4;1,0;...;...;...;9,0;3,7
"110002 ARIQUEMES";1,0;...;...;0,7;4,8;3,7;2,4;3,8;1,4;0,4;...;5,8;7,7;-;4,7;3,5;3,4;1,2;...;1,5;4,2;5,1;...;5,9;3,1;...;-;1,0;...;4,0
"110003 CABIXI";...;...;...;1,4;4,2;2,0;3,6;1,5;1,0;...;...;-;1,0;...;...;6,5;4,5;...;...;1,7;...;...;...;3,5;1,0;...;...;...;-;3,4
"110004 CACOAL";...;...;...;1,7;5,4;4,2;4,9;4,8;1,9;7,5;1,0;7,1;3,3;...;6,3;3,2;4,7;3,3;...;2,3;3,1;4,0;5,0;8,1;4,1;...;...;...;10,0;4,4
"110005 CEREJEIRAS";...;...;...;1,9;4,8;4,0;3,2;6,0;1,1;...;...;...;6,0;...;12,0;6,0;7,2;3,5;-;1,5;12,7;...;...;10,1;2,8;...;...;...;...;4,3
"110006 COLORADO DO OESTE";...;...;...;2,4;6,1;4,4;3,9;3,3;1,1;...;...;6,0;...;...;...;2,0;3,3;3,0;...;1,4;6,0;...;...;18,5;5,5;...;...;...;12,5;4,9
"110007 CORUMBIARA";...;...;...;1,0;5,1;...;...;...;...;...;...;4,0;5,5;...;...;4,0;2,7;...;...;1,9;...;...;...;9,5;...;...;...;...;...;3,9
"110008 COSTA MARQUES";...;...;...;1,0;3,5;14,0;2,8;3,8;1,5;...;...;...;4,0;...;...;3,0;3,0;1,0;...;2,4;11,0;...;...;1,5;...;...;...;...;...;3,3
"110009 ESPIGAO D'OESTE";34,0;...;...;0,5;3,1;3,8;2,8;1,6;1,9;...;...;...;3,0;...;3,0;3,1;5,9;1,0;...;3,0;11,5;...;...;6,8;5,0;...;...;...;...;3,2
"110010 GUAJARA-MIRIM";35,0;...;...;2,1;6,7;4,1;8,9;6,4;1,4;6,0;...;7,3;...;1,0;...;4,6;3,8;1,6;...;2,3;8,5;7,0;...;7,7;1,3;...;...;...;5,3;5,2
"110011 JARU";...;...;...;1,0;4,9;5,9;9,1;2,6;1,6;0,9;...;5,0;...;...;10,8;1,9;4,6;2,4;4,0;3,3;11,0;2,0;2,0;5,8;7,0;...;...;...;3,0;3,8
"110012 JI-PARANA";1,0;...;...;1,2;4,9;4,8;4,9;5,4;1,6;2,3;...;13,1;4,8;0,8;1,6;3,0;4,9;2,5;0,5;2,2;6,5;1,0;...;3,9;2,2;...;4,5;7,7;11,0;3,8
"110013 MACHADINHO D'OESTE";...;...;...;6,0;5,8;7,0;3,5;3,8;1,9;...;...;1,9;...;-;2,0;2,2;4,1;3,7;...;1,9;...;...;...;5,5;2,7;...;...;...;...;4,1
