INTOXICAÇÃO EXÓGENA - Notificações registradas no Sinan Net - Brasil
Notificações por Ano 1º Sintoma(s)
Período:2018
"Ano 1º Sintoma(s)";"Notificações"
"<1975";43
"1975";3
"1976";2
"1977";6
"1978";2
"1979";9
"1980";3
"1981";4
"1982";3
"1983";2
"1984";4
"1985";4
"1986";6
"1987";12
"1988";9
"1989";5
"1990";11
"1991";7
"1992";9
"1993";11
"1994";8
"1995";5
"1996";12
"1997";13
"1998";9
"1999";11
"2000";12
"2001";15
"2002";11
"2003";18
"2004";6
"2005";7
"2006";10
"2007";1
"2008";21
"2009";7
"2010";32
"2011";15
"2012";26
"2013";18
"2014";29
"2015";106
"2016";103
"2017";1948
"2018";154967
"Total";157565
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 Períodos Disponíveis / Período - Correspondem aos anos de notificação dos casos.
 Para casos de exposição ao trabalho considerar apenas a categoria "Sim".
 CAT - Comunicação de acidente de trabalho.
 Dados a partir 2020 do Espírito Santo não estão disponíveis neste sistema, pois são oriundos do Sistema de Informação e-SUS VS, em uso pelo estado desde janeiro de 2020.
 Dados de 2007 a 2017 revisados e atualizados em 15/08/2022.
 Dados de 2018 revisados e atualizados em 22/08/2022.
 Dados de 2019 a 2022 revisados e atualizados em 16/01/2023, sujeitos à revisão.
 *Dados disponibilizados no TABNET em 01/2023
 
