 Procedimentos hospitalares do SUS - por local de residência - Brasil
Média permanência por Município e Subgrupo proced.
Período:Abr-Jun/2022
"Município";"0201 Coleta de material";"0209 Diagnóstico por endoscopia";"0211 Métodos diagnósticos em especialidades";"0301 Consultas / Atendimentos / Acompanhamentos";"0303 Tratamentos clínicos (outras especialidades)";"0304 Tratamento em oncologia";"0305 Tratamento em nefrologia";"0308 Tratamento de lesões, envenenamentos e outros, decorrentes de causas externas";"0310 Parto e nascimento";"0401 Pequenas cirurgias e cirurgias de pele, tecido subcutâneo e mucosa";"0402 Cirurgia de glândulas endócrinas";"0403 Cirurgia do sistema nervoso central e periférico";"0404 Cirurgia das vias aéreas superiores, da face, da cabeça e do pescoço";"0405 Cirurgia do aparelho da visão";"0406 Cirurgia do aparelho circulatório";"0407 Cirurgia do aparelho digestivo, orgãos anexos e parede abdominal";"0408 Cirurgia do sistema osteomuscular";"0409 Cirurgia do aparelho geniturinário";"0410 Cirurgia de mama";"0411 Cirurgia obstétrica";"0412 Cirurgia torácica";"0413 Cirurgia reparadora";"0414 Bucomaxilofacial";"0415 Outras cirurgias";"0416 Cirurgia em oncologia";"0501 Coleta e exames para fins de doação de orgãos, tecidos e células e de transplante";"0503 Ações relacionadas à doação de orgãos e tecidos para transplante";"0504 Processamento de tecidos para transplante";"0505 Transplante de orgãos, tecidos e células";"0506 Acompanhamento e intercorrências no pré e pós-transplante";"Total"
"110001 ALTA FLORESTA D'OESTE";...;...;...;2,0;3,1;5,4;3,6;3,1;1,8;1,2;2,0;...;8,0;-;4,7;2,9;5,3;2,8;...;2,4;-;...;...;6,4;2,8;...;...;...;5,5;11,0;3,2
"110002 ARIQUEMES";-;...;...;0,6;4,2;7,2;4,5;3,5;1,4;0,7;...;11,0;6,4;...;1,8;2,0;7,3;2,4;...;2,0;3,3;3,7;...;4,1;2,9;...;-;...;...;12,0;3,6
"110003 CABIXI";...;...;...;2,3;4,0;10,0;1,0;8,0;2,3;...;...;...;...;...;...;4,5;1,5;1,5;...;1,7;...;...;...;1,3;2,0;...;1,0;...;...;13,8;4,1
"110004 CACOAL";...;...;7,0;1,8;4,3;6,2;5,2;5,1;2,6;1,6;8,3;11,0;3,6;...;7,1;4,0;4,3;2,6;3,4;2,6;4,8;6,2;...;6,3;5,7;...;...;...;17,0;21,5;4,2
"110005 CEREJEIRAS";...;...;...;3,0;4,7;22,3;2,3;4,5;1,6;...;2,0;...;3,0;...;12,0;6,9;9,5;2,0;...;1,8;...;...;...;3,6;3,0;...;...;...;...;...;4,6
"110006 COLORADO DO OESTE";1,0;...;...;2,4;5,9;4,7;3,7;5,4;1,4;2,0;...;...;1,3;...;...;7,3;5,2;4,8;...;2,6;...;...;...;8,5;2,5;...;...;...;...;...;5,0
"110007 CORUMBIARA";...;...;...;3,0;7,7;...;3,5;11,3;2,0;...;...;...;5,0;...;...;2,5;3,9;7,0;...;2,8;...;...;...;...;1,0;...;...;...;...;...;5,4
"110008 COSTA MARQUES";-;...;...;0,5;3,8;3,0;2,0;2,8;1,2;...;2,0;...;...;...;1,0;1,3;4,1;2,0;...;2,9;...;...;...;7,0;...;...;...;...;...;...;3,3
"110009 ESPIGAO D'OESTE";...;...;...;5,0;3,8;5,1;1,0;2,6;2,1;1,0;...;9,8;8,5;...;23,0;2,9;4,4;1,6;...;2,1;31,0;...;...;8,4;4,8;...;...;...;...;...;3,8
"110010 GUAJARA-MIRIM";...;...;...;2,8;4,7;8,5;5,3;5,5;1,6;4,0;...;15,0;4,0;...;1,0;3,8;4,3;3,6;2,0;2,4;2,2;...;...;13,0;5,0;...;-;...;10,0;7,0;4,4
