 Procedimentos hospitalares do SUS - por local de residência - Brasil;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Óbitos por Município e Subgrupo proced.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Período:Jan-Mar/2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Município;0201 Coleta de material;0209 Diagnóstico por endoscopia;0211 Métodos diagnósticos em especialidades;0301 Consultas / Atendimentos / Acompanhamentos;0303 Tratamentos clínicos (outras especialidades);0304 Tratamento em oncologia;0305 Tratamento em nefrologia;0308 Tratamento de lesões, envenenamentos e outros, decorrentes de causas externas;0310 Parto e nascimento;0401 Pequenas cirurgias e cirurgias de pele, tecido subcutâneo e mucosa;0402 Cirurgia de glândulas endócrinas;0403 Cirurgia do sistema nervoso central e periférico;0404 Cirurgia das vias aéreas superiores, da face, da cabeça e do pescoço;0405 Cirurgia do aparelho da visão;0406 Cirurgia do aparelho circulatório;0407 Cirurgia do aparelho digestivo, orgãos anexos e parede abdominal;0408 Cirurgia do sistema osteomuscular;0409 Cirurgia do aparelho geniturinário;0410 Cirurgia de mama;0411 Cirurgia obstétrica;0412 Cirurgia torácica;0413 Cirurgia reparadora;0414 Bucomaxilofacial;0415 Outras cirurgias;0416 Cirurgia em oncologia;0505 Transplante de orgãos, tecidos e células;0506 Acompanhamento e intercorrências no pré e pós-transplante;Total
110001 ALTA FLORESTA D'OESTE;-;-;-;-;12;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;15
110002 ARIQUEMES;-;-;-;-;28;3;1;2;-;-;-;1;-;-;-;1;2;-;-;-;1;-;-;3;-;-;-;42
110003 CABIXI;-;-;-;-;3;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;5
110004 CACOAL;-;-;-;-;37;18;2;-;-;-;-;1;-;-;5;1;-;-;-;-;1;-;-;6;-;-;-;71
110005 CEREJEIRAS;-;-;-;-;6;1;1;-;-;-;-;-;1;-;1;-;-;1;-;-;-;-;-;-;-;-;-;11
110006 COLORADO DO OESTE;-;-;-;-;4;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
110007 CORUMBIARA;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
110008 COSTA MARQUES;-;-;-;-;4;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
110009 ESPIGAO D'OESTE;-;-;-;-;14;1;-;-;-;-;-;1;-;-;1;-;-;-;-;1;-;-;-;2;-;-;-;20
110010 GUAJARA-MIRIM;-;-;-;-;18;2;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;22
110011 JARU;-;-;-;-;23;1;1;2;-;-;-;-;1;-;1;1;-;-;-;-;-;-;-;1;-;-;-;31
110012 JI-PARANA;-;-;-;-;38;2;6;1;-;-;-;2;-;-;-;1;-;-;-;-;1;-;-;1;-;-;-;52
110013 MACHADINHO D'OESTE;-;-;-;-;4;-;1;1;-;-;-;1;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;9
110014 NOVA BRASILANDIA D'OESTE;-;-;-;-;5;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;7
110015 OURO PRETO DO OESTE;-;-;-;2;15;2;-;-;-;-;-;2;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;22
110018 PIMENTA BUENO;-;-;-;-;19;4;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;25
110020 PORTO VELHO;-;-;-;-;168;23;2;7;-;-;-;6;2;-;1;12;4;2;-;-;1;-;-;7;2;-;-;237
110025 PRESIDENTE MEDICI;-;-;-;-;5;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
110026 RIO CRESPO;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;3
110028 ROLIM DE MOURA;-;-;-;6;16;4;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;30
110029 SANTA LUZIA D'OESTE;-;-;-;-;3;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;6
110030 VILHENA;-;-;-;1;53;1;5;-;-;-;-;1;-;-;2;1;-;-;-;1;-;-;-;3;-;-;-;68
110032 SAO MIGUEL DO GUAPORE;-;-;-;-;13;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;14
110033 NOVA MAMORE;-;-;-;-;5;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8
110034 ALVORADA D'OESTE;-;-;-;-;7;-;2;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;11
110037 ALTO ALEGRE DOS PARECIS;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;2
110040 ALTO PARAISO;-;-;-;-;6;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8
110045 BURITIS;-;-;-;-;6;1;1;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;10
