 Procedimentos hospitalares do SUS - por local de residência - Brasil
Óbitos por Município e Subgrupo proced.
Período:Abr-Jun/2019
"Município";"0201 Coleta de material";"0209 Diagnóstico por endoscopia";"0211 Métodos diagnósticos em especialidades";"0301 Consultas / Atendimentos / Acompanhamentos";"0303 Tratamentos clínicos (outras especialidades)";"0304 Tratamento em oncologia";"0305 Tratamento em nefrologia";"0308 Tratamento de lesões, envenenamentos e outros, decorrentes de causas externas";"0310 Parto e nascimento";"0401 Pequenas cirurgias e cirurgias de pele, tecido subcutâneo e mucosa";"0402 Cirurgia de glândulas endócrinas";"0403 Cirurgia do sistema nervoso central e periférico";"0404 Cirurgia das vias aéreas superiores, da face, da cabeça e do pescoço";"0405 Cirurgia do aparelho da visão";"0406 Cirurgia do aparelho circulatório";"0407 Cirurgia do aparelho digestivo, orgãos anexos e parede abdominal";"0408 Cirurgia do sistema osteomuscular";"0409 Cirurgia do aparelho geniturinário";"0410 Cirurgia de mama";"0411 Cirurgia obstétrica";"0412 Cirurgia torácica";"0413 Cirurgia reparadora";"0414 Bucomaxilofacial";"0415 Outras cirurgias";"0416 Cirurgia em oncologia";"0501 Coleta e exames para fins de doação de orgãos, tecidos e células e de transplante";"0505 Transplante de orgãos, tecidos e células";"0506 Acompanhamento e intercorrências no pré e pós-transplante";"Total"
"110001 ALTA FLORESTA D'OESTE";-;-;-;-;6;3;1;-;-;-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;-;-;-;-;13
"110002 ARIQUEMES";-;-;-;1;36;4;-;-;-;-;-;1;-;-;2;-;-;1;-;-;-;-;-;1;-;-;-;-;46
"110003 CABIXI";-;-;-;-;3;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"110004 CACOAL";-;-;-;-;48;20;1;3;-;-;-;1;2;-;2;-;1;-;-;-;-;-;-;9;1;-;-;-;88
"110005 CEREJEIRAS";-;-;-;-;10;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;14
"110006 COLORADO DO OESTE";-;-;-;-;9;-;-;1;-;-;-;-;1;-;-;1;-;-;-;-;1;-;-;1;-;-;-;-;14
"110007 CORUMBIARA";-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"110008 COSTA MARQUES";-;-;-;-;3;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"110009 ESPIGAO D'OESTE";-;-;-;-;11;2;-;-;-;-;-;1;1;-;-;1;1;-;-;-;-;-;-;1;1;-;-;-;19
"110010 GUAJARA-MIRIM";-;-;-;-;12;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;13
"110011 JARU";-;-;-;-;21;5;1;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;3;-;-;-;-;32
"110012 JI-PARANA";-;-;-;-;44;6;7;2;-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;4;-;-;-;-;66
"110013 MACHADINHO D'OESTE";-;-;-;-;10;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13
"110014 NOVA BRASILANDIA D'OESTE";-;-;-;-;4;1;1;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;8
"110015 OURO PRETO DO OESTE";-;-;-;2;26;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;30
"110018 PIMENTA BUENO";-;-;-;-;11;9;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;21
"110020 PORTO VELHO";1;-;-;-;174;22;5;5;1;-;-;9;1;1;2;7;5;3;-;-;-;-;-;8;-;-;-;1;245
"110025 PRESIDENTE MEDICI";-;-;-;-;15;3;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;19
"110026 RIO CRESPO";-;-;-;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"110028 ROLIM DE MOURA";-;-;-;3;20;3;1;2;-;-;-;1;-;-;1;1;1;-;-;-;-;-;-;3;-;-;-;1;37
"110029 SANTA LUZIA D'OESTE";-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"110030 VILHENA";-;-;-;-;54;2;6;-;-;-;-;1;-;-;1;4;3;-;-;1;-;-;-;-;-;-;-;-;72
"110032 SAO MIGUEL DO GUAPORE";-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;1;-;-;-;8
"110033 NOVA MAMORE";-;-;-;-;6;-;-;1;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;9
"110034 ALVORADA D'OESTE";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;3
"110037 ALTO ALEGRE DOS PARECIS";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"110040 ALTO PARAISO";-;-;-;-;4;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"110045 BURITIS";-;-;-;-;6;3;2;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;13
"110050 NOVO HORIZONTE DO OESTE";-;-;-;-;4;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"110060 CACAULANDIA";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"110070 CAMPO NOVO DE RONDONIA";-;-;-;-;7;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8
"110080 CANDEIAS DO JAMARI";-;-;-;-;8;1;1;-;-;-;-;-;-;-;1;-;-;-;-;-;2;-;-;1;-;-;-;-;14
"110090 CASTANHEIRAS";-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"110092 CHUPINGUAIA";-;-;-;-;3;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"110094 CUJUBIM";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"110100 GOVERNADOR JORGE TEIXEIRA";-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"110110 ITAPUA DO OESTE";-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"110120 MINISTRO ANDREAZZA";-;-;-;-;3;3;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"110130 MIRANTE DA SERRA";-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"110140 MONTE NEGRO";-;-;-;-;6;-;1;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;9
"110145 PARECIS";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"110146 PIMENTEIRAS DO OESTE";-;-;-;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"110147 PRIMAVERA DE RONDONIA";-;-;-;-;4;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;6
"110148 SAO FELIPE D'OESTE";-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"110149 SAO FRANCISCO DO GUAPORE";-;-;-;-;6;2;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9
