 Procedimentos hospitalares do SUS - por local de residência - Brasil
Óbitos por Município e Subgrupo proced.
Período:Out-Dez/2019
"Município";"0201 Coleta de material";"0209 Diagnóstico por endoscopia";"0301 Consultas / Atendimentos / Acompanhamentos";"0303 Tratamentos clínicos (outras especialidades)";"0304 Tratamento em oncologia";"0305 Tratamento em nefrologia";"0308 Tratamento de lesões, envenenamentos e outros, decorrentes de causas externas";"0310 Parto e nascimento";"0401 Pequenas cirurgias e cirurgias de pele, tecido subcutâneo e mucosa";"0402 Cirurgia de glândulas endócrinas";"0403 Cirurgia do sistema nervoso central e periférico";"0404 Cirurgia das vias aéreas superiores, da face, da cabeça e do pescoço";"0405 Cirurgia do aparelho da visão";"0406 Cirurgia do aparelho circulatório";"0407 Cirurgia do aparelho digestivo, orgãos anexos e parede abdominal";"0408 Cirurgia do sistema osteomuscular";"0409 Cirurgia do aparelho geniturinário";"0410 Cirurgia de mama";"0411 Cirurgia obstétrica";"0412 Cirurgia torácica";"0413 Cirurgia reparadora";"0414 Bucomaxilofacial";"0415 Outras cirurgias";"0416 Cirurgia em oncologia";"0505 Transplante de orgãos, tecidos e células";"0506 Acompanhamento e intercorrências no pré e pós-transplante";"Total"
"110001 ALTA FLORESTA D'OESTE";-;-;-;7;1;-;-;-;-;-;-;1;-;-;1;-;-;-;-;1;-;-;-;-;-;-;11
"110002 ARIQUEMES";-;-;-;34;11;5;-;-;-;-;-;1;-;-;-;2;-;-;-;-;-;-;1;-;-;-;54
"110003 CABIXI";-;-;-;3;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;4
"110004 CACOAL";-;-;2;31;11;1;4;-;-;-;-;-;-;1;1;2;-;-;-;2;-;-;5;1;-;-;61
"110005 CEREJEIRAS";-;-;-;5;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;7
"110006 COLORADO DO OESTE";-;-;-;1;1;-;-;-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;-;-;-;-;5
"110008 COSTA MARQUES";-;-;-;4;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;6
"110009 ESPIGAO D'OESTE";-;-;1;12;2;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;19
"110010 GUAJARA-MIRIM";-;-;-;22;1;1;-;-;-;-;1;-;-;-;-;1;1;-;-;-;-;-;1;-;-;1;29
"110011 JARU";-;-;1;15;3;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;21
"110012 JI-PARANA";-;-;1;44;10;6;2;-;-;-;-;-;-;2;3;1;-;-;-;-;-;-;2;-;1;-;72
"110013 MACHADINHO D'OESTE";-;-;-;10;-;2;1;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;15
"110014 NOVA BRASILANDIA D'OESTE";-;-;-;5;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"110015 OURO PRETO DO OESTE";-;-;-;22;1;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;27
"110018 PIMENTA BUENO";-;-;-;7;3;2;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;14
"110020 PORTO VELHO";-;-;1;186;26;8;2;-;-;-;5;3;-;3;8;3;-;-;-;2;-;-;12;-;-;-;259
"110025 PRESIDENTE MEDICI";-;-;-;2;3;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"110026 RIO CRESPO";-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"110028 ROLIM DE MOURA";-;-;-;24;3;2;1;-;-;-;-;-;-;1;2;-;-;-;1;-;-;-;-;-;-;-;34
"110029 SANTA LUZIA D'OESTE";-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"110030 VILHENA";-;-;-;43;2;5;1;-;-;-;-;5;-;3;5;2;-;-;-;1;-;-;-;-;-;-;67
"110032 SAO MIGUEL DO GUAPORE";-;-;-;9;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12
"110033 NOVA MAMORE";-;-;-;8;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10
"110034 ALVORADA D'OESTE";-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;3
"110037 ALTO ALEGRE DOS PARECIS";-;-;-;3;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"110040 ALTO PARAISO";-;-;-;4;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"110045 BURITIS";-;-;-;14;2;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;17
"110060 CACAULANDIA";-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"110070 CAMPO NOVO DE RONDONIA";-;-;-;4;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"110080 CANDEIAS DO JAMARI";-;-;-;12;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;16
"110092 CHUPINGUAIA";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"110094 CUJUBIM";-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"110100 GOVERNADOR JORGE TEIXEIRA";-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"110110 ITAPUA DO OESTE";-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;4
"110120 MINISTRO ANDREAZZA";-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"110130 MIRANTE DA SERRA";-;-;-;4;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;5
"110140 MONTE NEGRO";-;-;-;2;1;2;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"110143 NOVA UNIAO";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"110145 PARECIS";-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"110146 PIMENTEIRAS DO OESTE";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"110147 PRIMAVERA DE RONDONIA";-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;4
"110148 SAO FELIPE D'OESTE";-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"110149 SAO FRANCISCO DO GUAPORE";-;-;-;2;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"110150 SERINGUEIRAS";-;-;1;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;3
