 Procedimentos hospitalares do SUS - por local de residência - Brasil
Óbitos por Município e Subgrupo proced.
Período:Jan-Mar/2020
"Município";"0201 Coleta de material";"0209 Diagnóstico por endoscopia";"0211 Métodos diagnósticos em especialidades";"0301 Consultas / Atendimentos / Acompanhamentos";"0303 Tratamentos clínicos (outras especialidades)";"0304 Tratamento em oncologia";"0305 Tratamento em nefrologia";"0308 Tratamento de lesões, envenenamentos e outros, decorrentes de causas externas";"0310 Parto e nascimento";"0401 Pequenas cirurgias e cirurgias de pele, tecido subcutâneo e mucosa";"0402 Cirurgia de glândulas endócrinas";"0403 Cirurgia do sistema nervoso central e periférico";"0404 Cirurgia das vias aéreas superiores, da face, da cabeça e do pescoço";"0405 Cirurgia do aparelho da visão";"0406 Cirurgia do aparelho circulatório";"0407 Cirurgia do aparelho digestivo, orgãos anexos e parede abdominal";"0408 Cirurgia do sistema osteomuscular";"0409 Cirurgia do aparelho geniturinário";"0411 Cirurgia obstétrica";"0412 Cirurgia torácica";"0413 Cirurgia reparadora";"0414 Bucomaxilofacial";"0415 Outras cirurgias";"0416 Cirurgia em oncologia";"0505 Transplante de orgãos, tecidos e células";"0506 Acompanhamento e intercorrências no pré e pós-transplante";"Total"
"110001 ALTA FLORESTA D'OESTE";-;-;-;-;7;1;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;10
"110002 ARIQUEMES";-;-;-;-;28;5;2;1;-;-;-;-;1;-;1;1;-;-;-;-;-;-;-;1;1;-;41
"110003 CABIXI";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"110004 CACOAL";-;-;-;3;32;14;3;1;-;1;-;-;1;-;1;-;-;-;-;1;-;-;1;2;-;-;60
"110005 CEREJEIRAS";-;-;-;-;4;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"110006 COLORADO DO OESTE";-;-;-;-;8;1;-;1;-;-;-;-;1;-;-;-;-;-;-;2;-;-;-;-;-;-;13
"110007 CORUMBIARA";-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"110008 COSTA MARQUES";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"110009 ESPIGAO D'OESTE";-;-;-;-;18;1;1;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;2;-;-;-;24
"110010 GUAJARA-MIRIM";-;-;-;-;15;3;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;21
"110011 JARU";-;-;-;4;22;1;-;-;-;-;-;-;1;-;1;2;-;-;-;-;-;-;2;-;-;-;33
"110012 JI-PARANA";-;-;-;-;47;9;4;1;-;-;-;-;-;-;-;4;-;-;-;-;-;-;1;-;-;-;66
"110013 MACHADINHO D'OESTE";-;-;-;-;8;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11
"110014 NOVA BRASILANDIA D'OESTE";-;-;-;-;4;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"110015 OURO PRETO DO OESTE";-;-;-;-;11;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;14
"110018 PIMENTA BUENO";-;-;-;-;19;5;3;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;28
"110020 PORTO VELHO";-;-;-;-;140;47;7;3;-;-;-;7;-;-;1;1;3;1;-;1;-;-;7;-;-;2;220
"110025 PRESIDENTE MEDICI";-;-;-;-;7;-;2;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;10
"110026 RIO CRESPO";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"110028 ROLIM DE MOURA";-;-;-;1;21;2;-;1;-;-;-;-;-;-;-;-;-;2;-;-;-;-;1;-;-;-;28
"110029 SANTA LUZIA D'OESTE";-;-;-;-;5;1;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;9
"110030 VILHENA";-;-;-;-;36;2;4;-;-;-;-;-;2;-;2;2;1;-;-;1;-;-;1;-;-;-;51
"110032 SAO MIGUEL DO GUAPORE";-;-;-;-;11;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;12
"110033 NOVA MAMORE";-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"110034 ALVORADA D'OESTE";-;-;-;-;3;1;2;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;7
"110037 ALTO ALEGRE DOS PARECIS";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"110040 ALTO PARAISO";-;-;-;-;3;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"110045 BURITIS";-;-;-;-;10;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11
"110050 NOVO HORIZONTE DO OESTE";-;-;-;-;4;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"110060 CACAULANDIA";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;3
"110070 CAMPO NOVO DE RONDONIA";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"110080 CANDEIAS DO JAMARI";-;-;-;-;5;1;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;8
"110090 CASTANHEIRAS";-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"110092 CHUPINGUAIA";-;-;-;-;1;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"110094 CUJUBIM";-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"110100 GOVERNADOR JORGE TEIXEIRA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"110110 ITAPUA DO OESTE";-;-;-;-;6;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"110120 MINISTRO ANDREAZZA";-;-;-;-;2;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;6
"110130 MIRANTE DA SERRA";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"110140 MONTE NEGRO";-;-;-;-;4;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;7
"110143 NOVA UNIAO";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"110145 PARECIS";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"110147 PRIMAVERA DE RONDONIA";-;-;-;-;2;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"110148 SAO FELIPE D'OESTE";-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"110149 SAO FRANCISCO DO GUAPORE";-;-;-;-;8;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;10
"110150 SERINGUEIRAS";-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"110155 TEIXEIROPOLIS";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"110160 THEOBROMA";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"110170 URUPA";-;-;-;-;4;2;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;7
"110175 VALE DO ANARI";-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"110180 VALE DO PARAISO";-;-;-;-;2;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;5
"120001 ACRELANDIA";-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"120005 ASSIS BRASIL";-;-;-;-;4;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"120010 BRASILEIA";-;-;-;1;15;1;2;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;21
"120013 BUJARI";-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;4
"120017 CAPIXABA";-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"120020 CRUZEIRO DO SUL";-;1;-;1;42;2;-;1;-;-;-;3;2;-;-;1;1;-;-;-;-;-;-;-;-;-;54
"120025 EPITACIOLANDIA";-;-;-;-;5;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;7
"120030 FEIJO";-;-;-;-;4;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"120032 JORDAO";-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;2
"120033 MANCIO LIMA";-;-;-;-;4;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;6
"120034 MANOEL URBANO";-;-;-;1;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"120035 MARECHAL THAUMATURGO";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2
"120038 PLACIDO DE CASTRO";-;-;-;-;3;1;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"120040 RIO BRANCO";-;-;-;3;172;27;13;8;-;-;-;10;4;-;1;8;1;1;-;1;-;-;8;2;1;-;260
"120042 RODRIGUES ALVES";-;-;-;-;4;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"120043 SANTA ROSA DO PURUS";-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"120045 SENADOR GUIOMARD";-;-;-;-;6;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8
"120050 SENA MADUREIRA";-;-;-;-;17;1;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;1;-;-;-;21
"120060 TARAUACA";-;-;-;6;12;1;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;22
"120070 XAPURI";-;-;-;-;6;-;1;-;-;-;-;1;-;-;2;-;-;-;-;-;-;-;-;-;-;-;10
"120080 PORTO ACRE";-;-;-;-;5;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"130002 ALVARAES";-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"130006 AMATURA";-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"130008 ANAMA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"130010 ANORI";-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"130014 APUI";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;4
