 Procedimentos hospitalares do SUS - por local de residência - Brasil
Óbitos por Município e Subgrupo proced.
Período:Jan-Mar/2021
"Município";"0201 Coleta de material";"0209 Diagnóstico por endoscopia";"0211 Métodos diagnósticos em especialidades";"0301 Consultas / Atendimentos / Acompanhamentos";"0303 Tratamentos clínicos (outras especialidades)";"0304 Tratamento em oncologia";"0305 Tratamento em nefrologia";"0308 Tratamento de lesões, envenenamentos e outros, decorrentes de causas externas";"0310 Parto e nascimento";"0401 Pequenas cirurgias e cirurgias de pele, tecido subcutâneo e mucosa";"0402 Cirurgia de glândulas endócrinas";"0403 Cirurgia do sistema nervoso central e periférico";"0404 Cirurgia das vias aéreas superiores, da face, da cabeça e do pescoço";"0405 Cirurgia do aparelho da visão";"0406 Cirurgia do aparelho circulatório";"0407 Cirurgia do aparelho digestivo, orgãos anexos e parede abdominal";"0408 Cirurgia do sistema osteomuscular";"0409 Cirurgia do aparelho geniturinário";"0410 Cirurgia de mama";"0411 Cirurgia obstétrica";"0412 Cirurgia torácica";"0413 Cirurgia reparadora";"0414 Bucomaxilofacial";"0415 Outras cirurgias";"0416 Cirurgia em oncologia";"0505 Transplante de orgãos, tecidos e células";"0506 Acompanhamento e intercorrências no pré e pós-transplante";"Total"
"110001 ALTA FLORESTA D'OESTE";-;-;-;-;18;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;20
"110002 ARIQUEMES";-;-;-;-;208;7;2;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;1;221
"110003 CABIXI";-;-;-;-;5;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"110004 CACOAL";-;-;-;1;31;8;1;2;-;-;-;-;1;-;-;1;1;-;-;-;-;-;-;1;-;-;-;47
"110005 CEREJEIRAS";-;-;-;-;16;-;3;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;21
"110006 COLORADO DO OESTE";-;-;-;-;11;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;13
"110007 CORUMBIARA";-;-;-;-;7;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8
"110008 COSTA MARQUES";-;-;-;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;8
"110009 ESPIGAO D'OESTE";-;-;-;-;12;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;16
"110010 GUAJARA-MIRIM";-;-;-;-;46;1;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;49
"110011 JARU";-;-;-;-;57;8;-;1;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;1;-;-;-;70
"110012 JI-PARANA";-;-;-;-;95;9;7;1;-;-;-;2;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;116
"110013 MACHADINHO D'OESTE";-;-;-;-;44;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;47
"110014 NOVA BRASILANDIA D'OESTE";-;-;-;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10
"110015 OURO PRETO DO OESTE";-;-;-;1;19;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;23
"110018 PIMENTA BUENO";-;-;-;-;28;4;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;34
"110020 PORTO VELHO";-;-;-;2;383;46;11;2;-;-;-;5;2;-;5;13;-;1;-;-;-;-;-;5;1;-;-;476
"110025 PRESIDENTE MEDICI";-;-;-;-;21;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;22
"110026 RIO CRESPO";-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"110028 ROLIM DE MOURA";-;-;-;2;43;2;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;50
"110029 SANTA LUZIA D'OESTE";-;-;-;-;6;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"110030 VILHENA";-;-;-;-;116;1;3;1;-;-;1;-;3;-;-;2;-;-;-;-;1;-;-;-;-;-;-;128
"110032 SAO MIGUEL DO GUAPORE";-;-;-;1;15;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;17
"110033 NOVA MAMORE";-;-;-;-;30;1;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;33
"110034 ALVORADA D'OESTE";-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;4
"110040 ALTO PARAISO";-;-;-;-;16;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;17
"110045 BURITIS";-;-;-;-;36;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;37
"110050 NOVO HORIZONTE DO OESTE";-;-;-;-;12;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;13
"110060 CACAULANDIA";-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"110070 CAMPO NOVO DE RONDONIA";-;-;-;-;12;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;14
"110080 CANDEIAS DO JAMARI";-;-;-;-;18;2;2;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;1;-;-;-;25
"110092 CHUPINGUAIA";-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;1;2;-;-;-;1;-;-;1;-;-;-;9
"110094 CUJUBIM";-;-;-;-;11;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11
"110100 GOVERNADOR JORGE TEIXEIRA";-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"110110 ITAPUA DO OESTE";-;-;-;-;7;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9
"110120 MINISTRO ANDREAZZA";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"110130 MIRANTE DA SERRA";-;-;-;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"110140 MONTE NEGRO";-;-;-;-;17;-;2;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20
"110145 PARECIS";-;-;-;1;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"110146 PIMENTEIRAS DO OESTE";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"110147 PRIMAVERA DE RONDONIA";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"110148 SAO FELIPE D'OESTE";-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
