 Procedimentos hospitalares do SUS - por local de residência - Brasil
Óbitos por Município e Subgrupo proced.
Período:Jan-Mar/2022
"Município";"0201 Coleta de material";"0209 Diagnóstico por endoscopia";"0211 Métodos diagnósticos em especialidades";"0301 Consultas / Atendimentos / Acompanhamentos";"0303 Tratamentos clínicos (outras especialidades)";"0304 Tratamento em oncologia";"0305 Tratamento em nefrologia";"0308 Tratamento de lesões, envenenamentos e outros, decorrentes de causas externas";"0310 Parto e nascimento";"0401 Pequenas cirurgias e cirurgias de pele, tecido subcutâneo e mucosa";"0402 Cirurgia de glândulas endócrinas";"0403 Cirurgia do sistema nervoso central e periférico";"0404 Cirurgia das vias aéreas superiores, da face, da cabeça e do pescoço";"0405 Cirurgia do aparelho da visão";"0406 Cirurgia do aparelho circulatório";"0407 Cirurgia do aparelho digestivo, orgãos anexos e parede abdominal";"0408 Cirurgia do sistema osteomuscular";"0409 Cirurgia do aparelho geniturinário";"0410 Cirurgia de mama";"0411 Cirurgia obstétrica";"0412 Cirurgia torácica";"0413 Cirurgia reparadora";"0414 Bucomaxilofacial";"0415 Outras cirurgias";"0416 Cirurgia em oncologia";"0504 Processamento de tecidos para transplante";"0505 Transplante de orgãos, tecidos e células";"0506 Acompanhamento e intercorrências no pré e pós-transplante";"Total"
"110001 ALTA FLORESTA D'OESTE";-;-;-;-;11;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13
"110002 ARIQUEMES";-;-;-;-;37;5;2;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;47
"110003 CABIXI";-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"110004 CACOAL";-;-;-;1;46;17;3;1;-;-;-;-;-;-;1;1;2;-;-;-;2;-;-;3;1;-;-;-;78
"110005 CEREJEIRAS";-;-;-;-;14;1;-;-;-;-;-;-;-;-;-;2;-;-;-;-;1;-;-;-;-;-;-;-;18
"110006 COLORADO DO OESTE";-;-;-;-;8;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;11
"110007 CORUMBIARA";-;-;-;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"110008 COSTA MARQUES";-;-;-;-;6;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"110009 ESPIGAO D'OESTE";-;-;-;-;18;5;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;25
"110010 GUAJARA-MIRIM";-;-;-;-;20;2;1;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;27
"110011 JARU";-;-;-;3;38;5;1;-;-;-;-;-;-;-;-;1;2;1;-;-;-;-;-;1;-;-;-;-;52
"110012 JI-PARANA";-;-;-;1;109;4;10;2;-;-;-;-;-;-;-;9;2;-;-;-;3;-;-;-;-;-;-;-;140
"110013 MACHADINHO D'OESTE";-;-;-;1;24;-;-;-;-;-;-;-;1;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;28
"110014 NOVA BRASILANDIA D'OESTE";-;-;-;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;-;-;-;13
"110015 OURO PRETO DO OESTE";-;-;-;-;20;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;24
"110018 PIMENTA BUENO";-;-;-;-;25;2;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;29
"110020 PORTO VELHO";-;-;-;-;250;29;2;4;-;-;-;5;3;-;3;3;2;2;-;-;-;-;-;6;-;-;-;-;309
"110025 PRESIDENTE MEDICI";-;-;-;-;9;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11
"110028 ROLIM DE MOURA";-;-;-;-;38;3;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;1;1;-;-;-;45
"110029 SANTA LUZIA D'OESTE";-;-;-;-;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8
"110030 VILHENA";-;-;-;-;61;5;2;-;-;-;-;1;3;-;1;5;1;-;-;-;1;-;-;-;-;-;-;-;80
"110032 SAO MIGUEL DO GUAPORE";-;-;-;3;16;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;19
"110033 NOVA MAMORE";-;-;-;-;15;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;17
"110034 ALVORADA D'OESTE";-;-;-;-;9;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;11
"110037 ALTO ALEGRE DOS PARECIS";-;-;-;-;4;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
