"Codigo_Municipio";"Municipio";"0201 Coleta de material";"0209 Diagnostico por endoscopia";"0211 Metodos diagnosticos em especialidades";"0301 Consultas / Atendimentos / Acompanhamentos";"0303 Tratamentos clinicos (outras especialidades)";"0304 Tratamento em oncologia";"0305 Tratamento em nefrologia";"0308 Tratamento de lesoes, envenenamentos e outros, decorrentes de causas externas";"0310 Parto e nascimento";"0401 Pequenas cirurgias e cirurgias de pele, tecido subcutaneo e mucosa";"0402 Cirurgia de glandulas endocrinas";"0403 Cirurgia do sistema nervoso central e periferico";"0404 Cirurgia das vias aereas superiores, da face, da cabeca e do pescoco";"0405 Cirurgia do aparelho da visao";"0406 Cirurgia do aparelho circulatorio";"0407 Cirurgia do aparelho digestivo, orgaos anexos e parede abdominal";"0408 Cirurgia do sistema osteomuscular";"0409 Cirurgia do aparelho geniturinario";"0410 Cirurgia de mama";"0411 Cirurgia obstetrica";"0412 Cirurgia toracica";"0413 Cirurgia reparadora";"0414 Bucomaxilofacial";"0415 Outras cirurgias";"0416 Cirurgia em oncologia";"0501 Coleta e exames para fins de doacao de orgaos, tecidos e celulas e de transplante";"0503 Acoes relacionadas a doacao de orgaos e tecidos para transplante";"0504 Processamento de tecidos para transplante";"0505 Transplante de orgaos, tecidos e celulas";"0506 Acompanhamento e intercorrencias no pre e pos-transplante";"Total"
"110001";"ALTA FLORESTA D'OESTE";0;0;0;1;248;2;19;22;17;1;0;1;0;0;1;7;22;1;0;39;2;1;0;8;3;0;0;0;0;0;395
"110002";"ARIQUEMES";0;0;0;105;924;25;38;178;120;9;0;16;5;1;7;41;107;15;1;93;10;8;0;48;10;0;1;0;1;1;1764
"110003";"CABIXI";0;0;0;6;57;1;3;4;3;0;0;0;0;0;0;4;10;2;0;14;0;0;0;1;0;0;0;0;0;0;105
"110004";"CACOAL";2;0;0;40;440;48;28;54;43;3;4;7;9;1;5;64;52;26;1;184;3;5;0;40;11;0;5;0;2;4;1081
"110005";"CEREJEIRAS";0;0;0;9;148;6;11;13;7;2;0;1;1;0;1;9;18;2;0;37;2;0;0;4;2;0;2;0;0;0;275
"110006";"COLORADO DO OESTE";0;0;0;12;119;6;5;7;6;2;0;0;0;0;2;3;20;5;0;22;2;0;0;3;2;0;0;0;0;6;222
"110007";"CORUMBIARA";0;0;0;8;16;2;1;4;1;1;0;0;0;0;1;1;6;1;0;15;2;0;0;2;0;0;1;0;0;0;62
"110008";"COSTA MARQUES";0;0;0;0;50;2;0;9;6;0;0;0;1;0;1;3;10;0;0;13;2;0;0;3;0;0;0;0;1;1;102
"110009";"ESPIGAO D'OESTE";0;0;0;8;253;12;6;52;14;3;0;0;1;0;2;25;14;11;0;27;1;0;0;13;3;0;0;0;0;0;445
"110010";"GUAJARA-MIRIM";0;0;0;12;426;17;17;66;114;2;0;6;1;0;0;40;54;9;1;111;2;0;0;20;7;0;0;0;1;0;906
"110011";"JARU";0;0;0;110;307;26;8;39;54;12;0;1;2;1;0;35;29;37;0;105;1;1;0;11;5;0;0;0;0;0;784
"110012";"JI-PARANA";1;0;0;19;600;54;105;66;99;8;0;1;4;3;5;110;69;51;1;222;5;1;0;33;16;0;1;0;0;8;1482
"110013";"MACHADINHO D'OESTE";0;0;0;4;211;9;54;75;44;1;0;6;0;0;3;14;57;8;0;50;1;0;0;11;5;0;0;0;1;0;554
"110014";"NOVA BRASILANDIA D'OESTE";0;0;1;3;113;1;4;8;2;0;0;1;0;1;0;10;9;3;0;35;0;0;0;4;0;0;0;0;0;0;195
"110015";"OURO PRETO DO OESTE";2;0;1;20;372;9;9;27;18;4;0;2;0;2;1;28;20;38;1;61;0;0;0;10;6;0;1;0;0;0;632
"110018";"PIMENTA BUENO";0;0;0;3;377;16;31;79;24;1;0;3;3;0;1;12;19;11;0;60;0;1;0;17;4;0;0;0;0;0;662
"110020";"PORTO VELHO";2;1;1;31;3068;201;230;957;733;20;5;93;27;13;42;410;776;209;7;735;30;4;1;368;65;1;10;0;7;18;8065
"110025";"PRESIDENTE MEDICI";0;0;0;3;98;4;11;13;6;0;0;1;0;0;0;18;17;24;0;48;0;0;0;4;3;0;0;0;0;0;250
"110026";"RIO CRESPO";0;0;0;8;14;0;0;5;7;0;0;0;0;0;0;2;3;2;0;2;0;0;0;0;0;0;0;0;0;0;43
"110028";"ROLIM DE MOURA";2;0;0;156;364;15;8;63;23;3;2;2;2;2;2;23;40;12;0;148;1;0;0;15;3;0;1;0;2;0;889
"110029";"SANTA LUZIA D'OESTE";1;0;0;3;76;0;2;13;2;1;0;0;0;0;0;1;5;0;0;13;0;0;0;2;0;0;0;0;0;0;119
"110030";"VILHENA";0;1;0;253;1016;16;37;103;98;2;3;4;21;0;2;93;181;20;1;279;4;5;1;24;11;0;0;0;1;0;2176
"110032";"SAO MIGUEL DO GUAPORE";1;0;0;11;162;5;6;23;11;1;0;0;2;0;2;23;6;29;5;99;1;2;0;9;0;0;0;0;0;0;398
"110033";"NOVA MAMORE";0;0;0;3;221;7;13;42;34;1;0;4;2;0;3;12;35;2;1;34;2;0;0;12;1;0;0;0;0;0;429
"110034";"ALVORADA D'OESTE";1;0;0;23;72;0;1;16;6;1;1;4;2;0;1;5;6;4;0;6;1;0;0;1;3;0;0;0;0;0;154
"110037";"ALTO ALEGRE DOS PARECIS";0;0;0;8;101;4;7;8;4;0;0;0;1;0;1;7;8;0;0;25;0;0;0;6;2;0;0;0;0;0;182
"110040";"ALTO PARAISO";0;0;0;9;104;5;10;35;14;2;0;3;1;0;0;8;21;1;0;8;2;1;0;13;1;0;0;0;1;0;239
"110045";"BURITIS";0;0;0;4;195;2;17;58;17;2;0;5;3;0;1;15;37;5;0;14;0;2;0;19;4;0;1;0;1;3;405
"110050";"NOVO HORIZONTE DO OESTE";0;0;0;11;73;1;1;7;0;0;0;0;0;0;0;1;5;1;0;13;0;0;0;4;2;0;0;0;0;0;119
"110060";"CACAULANDIA";0;0;0;0;25;0;2;2;2;0;0;0;1;0;0;4;3;2;0;3;0;1;0;3;0;0;0;0;0;0;48
"110070";"CAMPO NOVO DE RONDONIA";0;0;0;2;41;0;3;13;8;0;0;4;1;0;0;2;9;2;0;4;0;0;0;5;0;0;0;0;0;0;94
"110080";"CANDEIAS DO JAMARI";0;0;0;2;118;4;11;58;31;1;0;5;2;1;4;9;44;5;0;17;2;0;0;10;6;0;0;0;0;2;332
"110090";"CASTANHEIRAS";0;0;0;1;14;0;0;0;0;0;1;0;0;0;1;2;1;1;0;7;1;0;0;1;2;0;0;0;0;0;32
"110092";"CHUPINGUAIA";0;0;0;11;19;4;1;9;3;0;0;1;1;0;0;14;9;1;0;12;0;1;0;4;3;0;0;0;0;4;97
"110094";"CUJUBIM";0;0;0;25;174;2;3;32;24;1;1;3;1;0;1;11;25;3;0;20;0;0;1;8;1;1;0;0;0;0;337
"110100";"GOVERNADOR JORGE TEIXEIRA";0;0;0;2;18;0;1;2;4;0;0;0;0;0;0;5;7;5;0;4;0;0;0;0;1;0;0;0;1;0;50
"110110";"ITAPUA DO OESTE";0;0;0;1;48;5;4;21;5;0;0;1;3;1;0;3;14;1;0;12;0;0;0;6;1;0;0;0;0;1;127
"110120";"MINISTRO ANDREAZZA";0;0;0;2;59;8;1;3;5;1;0;0;0;0;0;6;5;0;0;11;0;0;0;3;0;0;1;0;0;0;105
"110130";"MIRANTE DA SERRA";0;0;0;2;71;1;3;4;6;0;0;0;1;0;2;14;6;5;0;7;0;0;0;5;1;0;0;0;1;0;129
"110140";"MONTE NEGRO";0;0;0;1;81;5;26;22;11;0;0;4;0;0;1;6;11;4;0;13;0;1;0;6;0;0;0;0;0;0;192
"110143";"NOVA UNIAO";0;0;0;2;28;1;0;2;3;0;0;0;0;0;0;6;2;1;0;8;0;0;0;1;4;0;0;0;0;0;58
"110145";"PARECIS";0;0;0;108;4;1;0;6;0;0;0;0;0;0;0;1;4;1;0;7;0;0;0;0;1;0;0;0;0;0;133
"110146";"PIMENTEIRAS DO OESTE";0;0;0;9;23;0;0;4;1;0;0;1;0;0;0;4;3;0;0;3;0;0;0;2;1;0;0;0;0;0;51
"110147";"PRIMAVERA DE RONDONIA";0;0;0;0;15;1;1;6;2;0;0;0;0;0;1;1;0;1;0;1;0;0;0;1;0;0;0;0;0;0;30
"110148";"SAO FELIPE D'OESTE";0;0;0;3;13;1;2;3;0;0;0;0;0;0;0;0;3;2;0;8;0;0;0;2;1;0;0;0;0;0;38
"110149";"SAO FRANCISCO DO GUAPORE";0;0;0;4;79;1;2;12;8;1;0;1;0;0;0;7;9;1;0;13;1;0;0;6;2;0;0;0;0;0;147
"110150";"SERINGUEIRAS";0;0;0;22;51;0;8;12;7;0;0;0;1;0;0;6;19;9;0;21;1;0;0;6;2;0;0;0;0;0;165
"110155";"TEIXEIROPOLIS";0;0;0;0;22;0;2;1;0;0;0;0;0;0;0;2;0;0;0;6;0;0;0;1;1;0;0;0;0;0;35
