Ano;Trimestre;UID;Codigo_Municipio;Nome_Municipio;Coleta_Material_0201;Diagnostico_Endoscopia_0209;Metodos_Diagnosticos_Especialidades_0211;Consultas_Atendimentos_Acompanhamentos_0301;Tratamentos_Clinicos_Outras_Especialidades_0303;Tratamento_Oncologia_0304;Tratamento_Nefrologia_0305;Tratamento_Lesoes_Envenenamentos_Outros_Causas_Externas_0308;Parto_Nascimento_0310;Pequenas_Cirurgias_Pele_Tecido_Subcutaneo_Mucosa_0401;Cirurgia_Glandulas_Endocrinas_0402;Cirurgia_Sistema_Nervoso_Central_Periferico_0403;Cirurgia_Vias_Aereas_Superiores_Face_Cabeca_Pescoco_0404;Cirurgia_Aparelho_Visao_0405;Cirurgia_Aparelho_Circulatorio_0406;Cirurgia_Aparelho_Digestivo_Orgaos_Anexos_Parede_Abdominal_0407;Cirurgia_Sistema_Osteomuscular_0408;Cirurgia_Aparelho_Geniturinario_0409;Cirurgia_Mama_0410;Cirurgia_Obstetrica_0411;Cirurgia_Toracica_0412;Cirurgia_Reparadora_0413;Cirurgia_Bucomaxilofacial_0414;Outras_Cirurgias_0415;Cirurgia_Oncologia_0416;Coleta_Exames_Doacao_Orgaos_Tecidos_Celulas_Transplante_0501;Acoes_Relacionadas_Doacao_Orgaos_Tecidos_Transplante_0503;Processamento_Tecidos_Transplante_0504;Transplante_Orgaos_Tecidos_Celulas_0505;Acompanhamento_Intercorrencias_Pre_Pos_Transplante_0506
2020;1;20201110001;110001;ALTA FLORESTA D'OESTE;1;0;0;6;378;14;33;34;10;2;1;1;5;3;1;6;17;4;0;52;2;1;0;20;5;0;0;0;0;0
2020;1;20201110002;110002;ARIQUEMES;0;0;0;63;889;50;39;93;154;8;1;15;9;12;14;94;76;25;2;134;5;7;0;60;9;0;3;0;3;3
2020;1;20201110003;110003;CABIXI;0;0;0;8;102;0;6;2;0;0;0;0;0;0;0;7;6;1;0;7;0;0;0;3;1;0;0;0;0;0
2020;1;20201110004;110004;CACOAL;1;0;0;52;654;99;52;100;62;6;3;7;12;5;11;57;88;48;5;209;11;4;2;62;18;0;0;0;1;0
2020;1;20201110005;110005;CEREJEIRAS;0;0;0;17;311;4;8;1;19;1;0;0;2;1;0;10;18;7;0;37;4;0;1;5;1;0;0;0;0;0
2020;1;20201110006;110006;COLORADO DO OESTE;0;0;0;14;186;3;5;6;13;2;0;0;1;0;1;6;17;4;0;19;3;0;0;6;1;0;0;0;0;0
2020;1;20201110007;110007;CORUMBIARA;0;0;0;5;25;0;2;4;9;0;0;0;0;0;3;5;9;3;0;14;0;0;0;2;2;0;0;0;0;0
2020;1;20201110008;110008;COSTA MARQUES;0;0;0;1;100;0;3;11;7;1;0;3;0;0;0;12;11;5;0;34;1;1;0;11;1;0;0;0;0;0
2020;1;20201110009;110009;ESPIGAO D'OESTE;0;0;0;6;474;15;15;63;23;0;1;1;3;0;3;17;21;8;3;38;2;0;0;26;7;0;3;0;1;0
2020;1;20201110010;110010;GUAJARA-MIRIM;1;0;0;20;443;10;12;35;125;7;1;3;1;2;1;41;31;9;1;105;2;1;0;35;2;0;1;0;0;0
2020;1;20201110011;110011;JARU;0;0;0;65;429;7;11;34;72;33;0;1;3;2;5;56;27;30;2;147;0;0;0;28;4;0;0;0;0;2
2020;1;20201110012;110012;JI-PARANA;0;0;0;47;569;59;75;79;174;13;2;10;11;4;11;142;87;74;3;265;7;0;1;41;12;0;1;0;2;4
2020;1;20201110013;110013;MACHADINHO D'OESTE;0;0;0;6;317;6;81;38;45;2;0;9;0;1;4;10;32;21;0;72;0;0;0;19;2;0;0;0;1;3
2020;1;20201110014;110014;NOVA BRASILANDIA D'OESTE;0;0;0;4;200;2;11;9;8;1;0;3;1;2;1;14;9;16;0;52;1;0;1;10;0;0;0;0;1;0
