"Codigo_Municipio";"Municipio";"Coleta_Material";"Diagnostico_Endoscopia";"Metodos_Diagnosticos_Especialidades";"Consultas_Atendimentos_Acompanhamentos";"Tratamentos_Clinicos_Outras_Especialidades";"Tratamento_Oncologia";"Tratamento_Nefrologia";"Tratamento_Lesoes_Envenenamentos_Outros_Causas_Externas";"Parto_Nascimento";"Pequenas_Cirurgias_Pele_Tecido_Subcutaneo_Mucosa";"Cirurgia_Glandulas_Endocrinas";"Cirurgia_Sistema_Nervoso_Central_Periferico";"Cirurgia_Vias_Aereas_Superiores_Face_Cabeca_Pescoco";"Cirurgia_Aparelho_Visao";"Cirurgia_Aparelho_Circulatorio";"Cirurgia_Aparelho_Digestivo_Orgaos_Anexos_Parede_Abdominal";"Cirurgia_Sistema_Osteomuscular";"Cirurgia_Aparelho_Geniturinario";"Cirugia_Mama";"Cirurgia_Obstetrica";"Cirurgia_Toracica";"Cirurgia_Reparadora";"Bucomaxilofacial";"Outras_Cirurgias";"Cirurgia_Oncologia";"Coleta_Exames_Doacao_Orgaos_Tecidos_Celulas_Transplante";"Acoes_Relacionadas_Doacao_Orgaos_Tecidos_Transplantes";"Processamento_Tecidos_Transplante";"Transplante_Orgaos_Tecidos_Celulas";"Acompanhamento_Intercorrencias_Pre_Pos_Transplante";"Total"
"110001";"ALTA FLORESTA D'OESTE";0;0;0;1,3;3,1;2,6;2,4;2,2;1,7;0;1,0;2,0;1,7;0;12,3;3,2;4,9;7,3;0;2,7;0;0;0;10,0;2,0;0;0;0;0;9,0;3,1
"110002";"ARIQUEMES";0;0;13,0;0,7;4,8;4,5;4,2;4,4;1,6;0,7;0;6,9;1,7;0;5,1;3,3;5,2;1,4;0;1,6;4,8;0,9;0;5,3;2,1;0;0;0;5,5;10,9;4,0
"110003";"CABIXI";0;0;0;1,6;3,9;16,3;2,3;5,3;1,0;0;0;0;0;0;0;9,2;2,4;1,0;0;1,9;0;4,0;0;2,0;3,5;0;0;0;0;0;3,9
"110004";"CACOAL";0;0;0;1,9;4,7;5,3;5,5;6,8;2,1;1,4;1,7;7,2;4,3;5,0;7,6;2,9;6,2;2,4;2,0;2,6;3,9;3,7;1,3;6,6;2,4;2,0;0,8;0;0;1,0;4,3
"110005";"CEREJEIRAS";0;0;0;1,3;4,5;8,4;2,9;3,9;1,5;0;0;0;14,0;0;4,3;5,6;5,6;3,3;0;2,8;0;5,0;2,0;4,9;0;0;0;0;0;0;4,3
"110006";"COLORADO DO OESTE";0;0;0;1,3;5,3;5,3;3,7;4,5;1,2;0;2,0;15,0;2,0;0;11,0;5,3;6,3;4,3;0;1,9;0;0;0;3,1;1,0;0;0;0;0;0;4,4
"110007";"CORUMBIARA";0;0;0;1,0;6,2;6,7;31,5;5,0;1,5;0;0;0;13,0;0;8,0;8,5;3,5;1,5;0;1,9;6,0;0;0;6,0;0,5;0;0;0;0;0;5,2
"110008";"COSTA MARQUES";0;0;0;2,5;3,4;21,0;2,3;2,7;0,9;2,0;0;0;0;0;0;1,9;8,8;2,0;0;2,0;0;0;0;6,8;6,0;0;0;0;0;0;3,7
"110009";"ESPIGAO D'OESTE";0;0;0;1,5;3,1;3,7;4,6;2,4;1,7;3,0;2,0;15,5;8,3;0;0;3,4;5,5;3,9;0;2,4;13,3;0;0;6,1;2,8;0;0,5;0;0;0;3,3
"110010";"GUAJARA-MIRIM";0;0;0;2,2;6,3;5,0;3,7;6,6;1,4;1,0;0;9,2;14,0;0;0;5,1;6,0;10,3;2,0;2,4;0;0;4,0;4,4;4,7;0;0;0;0;7,0;4,9
"110011";"JARU";0;0;0;1,9;7,0;9,1;7,9;7,4;6,3;0,4;0;3,3;15,2;29,0;13,8;2,0;5,5;3,1;1,5;7,0;5,5;0;0;6,7;2,6;0;0;0;0;0;5,5
"110012";"JI-PARANA";0;0;0;1,2;5,3;5,4;4,4;5,2;1,8;3,5;1,3;13,8;2,6;1,0;4,5;3,2;6,5;2,4;1,3;2,9;6,3;3,0;1,0;6,9;2,8;0;1,3;0;0;6,7;4,3
"110013";"MACHADINHO D'OESTE";0;0;0;1,5;5,6;6,3;3,1;5,5;1,3;4,0;0;6,0;14,3;0;27,0;3,8;5,0;1,3;0;2,2;6,3;1,0;0;4,3;1,0;0;2,0;0;0;14,0;4,6
"110014";"NOVA BRASILANDIA D'OESTE";0;0;0;1,0;4,7;4,8;3,8;3,3;1,8;2,0;2,0;0;0;1,0;0;2,7;2,4;1,9;0;2,0;0;0;0;12,8;2,5;0;0;0;0;12,3;3,9
"110015";"OURO PRETO DO OESTE";0;0;0;2,3;4,8;2,6;6,1;3,8;2,4;0,7;0;27,0;0;0;0;1,3;5,2;1,2;0;1,7;0;0;0;5,4;4,8;0;0;0;0;0;3,6
"110018";"PIMENTA BUENO";0;0;0;1,9;2,5;4,9;4,3;1,8;1,6;1,0;2,0;4,0;2,7;0;3,5;2,2;6,4;3,1;2,0;2,2;9,3;0;1,0;5,1;4,0;0;0;0;0;0;2,6
"110020";"PORTO VELHO";1,2;0;0;2,5;8,0;7,2;5,3;5,1;2,0;2,7;3,5;8,1;9,4;0,5;8,7;3,7;4,7;1,6;1,3;3,2;5,6;3,0;0;5,5;3,3;8,7;0;0;30,5;14,3;5,6
"110025";"PRESIDENTE MEDICI";0;0;0;1,0;7,1;7,8;6,3;5,5;1,5;1,0;1,0;5,5;14,0;18,0;0;4,3;8,7;2,2;0;4,4;0;0;0;8,8;1,0;0;0;0;0;0;6,2
"110026";"RIO CRESPO";0;0;0;34,7;4,3;3,0;0;3,3;1,5;0;0;0;0;0;0;3,0;0;0;0;3,0;0;0;0;4,0;0;0;0;0;0;0;9,5
"110028";"ROLIM DE MOURA";0;5,0;0;0,9;4,4;5,0;9,1;4,8;1,9;2,0;2,0;0;13,3;0;12,5;3,0;6,2;1,9;0;2,2;5,0;0;2,0;5,9;3,5;0;0;0;0;16,1;4,0
"110029";"SANTA LUZIA D'OESTE";0;0;0;0,5;4,0;2,0;2,0;4,1;2,0;0;2,0;0;3,0;0;0,5;2,3;7,3;2,3;0;2,0;0;0;0;2,0;1,0;0;0;0;0;0;3,6
"110030";"VILHENA";0;0;0;2,5;6,8;3,8;3,7;9,1;1,9;1,3;2,0;4,0;8,5;0;24,0;3,6;5,6;2,4;2,4;2,0;8,7;54,0;0;7,2;3,8;0;1,0;0;0;20,0;5,0
"110032";"SAO MIGUEL DO GUAPORE";0;0;0;1,5;3,0;10,2;2,0;4,2;1,3;0;1,0;4,3;2,3;0;0;2,1;2,6;1,3;0;1,5;9,0;1,0;0;5,1;2,8;0;0;0;12,0;0;2,7
"110033";"NOVA MAMORE";0;0;0;1,3;4,8;6,0;4,3;3,5;1,6;1,0;0;16,0;22,0;0;5,0;3,5;6,1;9,7;0;2,6;4,0;0;0;6,4;1,7;0;0;0;0;0;4,4
"110034";"ALVORADA D'OESTE";0;0;0;1,1;4,7;4,7;2,0;4,6;1,5;0;0;0;2,0;0;0;2,0;4,1;4,6;0;2,7;0;0;0;4,0;0;0;0;0;0;4,3;3,4
