Ano;Trimestre;UID;Codigo_Municipio;Municipio;Coleta_Material;Diagnostico_Endoscopia;Metodos_Diagnosticos_Especialidades;Consultas_Atendimentos_Acompanhamentos;Tratamentos_Clinicos_Outras_Especialidades;Tratamento_Oncologia;Tratamento_Nefrologia;Tratamento_Lesoes_Envenenamentos_Outros_Causas_Externas;Parto_Nascimento;Pequenas_Cirurgias_Pele_Tecido_Subcutaneo_Mucosa;Cirurgia_Glandulas_Endocrinas;Cirurgia_Sistema_Nervoso_Central_Periferico;Cirurgia_Vias_Aereas_Superiores_Face_Cabeca_Pescoco;Cirurgia_Aparelho_Visao;Cirurgia_Aparelho_Circulatorio;Cirurgia_Aparelho_Digestivo_Orgaos_Anexos_Parede_Abdominal;Cirurgia_Sistema_Osteomuscular;Cirurgia_Aparelho_Geniturinario;Cirugia_Mama;Cirurgia_Obstetrica;Cirurgia_Toracica;Cirurgia_Reparadora;Bucomaxilofacial;Outras_Cirurgias;Cirurgia_Oncologia;Processamento_Tecidos_Transplante;Transplante_Orgaos_Tecidos_Celulas
2022;1;20221110001;110001;ALTA FLORESTA D'OESTE;0;0;0;0;11;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2022;1;20221110002;110002;ARIQUEMES;0;0;0;0;37;5;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
2022;1;20221110003;110003;CABIXI;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2022;1;20221110004;110004;CACOAL;0;0;0;1;46;17;3;1;0;0;0;0;0;0;1;1;2;0;0;0;2;0;0;3;1;0;0
2022;1;20221110005;110005;CEREJEIRAS;0;0;0;0;14;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0
2022;1;20221110006;110006;COLORADO DO OESTE;0;0;0;0;8;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
2022;1;20221110007;110007;CORUMBIARA;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2022;1;20221110008;110008;COSTA MARQUES;0;0;0;0;6;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2022;1;20221110009;110009;ESPIGAO D'OESTE;0;0;0;0;18;5;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
2022;1;20221110010;110010;GUAJARA-MIRIM;0;0;0;0;20;2;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
2022;1;20221110011;110011;JARU;0;0;0;3;38;5;1;0;0;0;0;0;0;0;0;1;2;1;0;0;0;0;0;1;0;0;0
2022;1;20221110012;110012;JI-PARANA;0;0;0;1;109;4;10;2;0;0;0;0;0;0;0;9;2;0;0;0;3;0;0;0;0;0;0
2022;1;20221110013;110013;MACHADINHO D'OESTE;0;0;0;1;24;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0
2022;1;20221110014;110014;NOVA BRASILANDIA D'OESTE;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0
2022;1;20221110015;110015;OURO PRETO DO OESTE;0;0;0;0;20;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
2022;1;20221110018;110018;PIMENTA BUENO;0;0;0;0;25;2;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2022;1;20221110020;110020;PORTO VELHO;0;0;0;0;250;29;2;4;0;0;0;5;3;0;3;3;2;2;0;0;0;0;0;6;0;0;0
2022;1;20221110025;110025;PRESIDENTE MEDICI;0;0;0;0;9;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2022;1;20221110028;110028;ROLIM DE MOURA;0;0;0;0;38;3;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;1;0;0
2022;1;20221110029;110029;SANTA LUZIA D'OESTE;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2022;1;20221110030;110030;VILHENA;0;0;0;0;61;5;2;0;0;0;0;1;3;0;1;5;1;0;0;0;1;0;0;0;0;0;0
2022;1;20221110032;110032;SAO MIGUEL DO GUAPORE;0;0;0;3;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2022;1;20221110033;110033;NOVA MAMORE;0;0;0;0;15;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
2022;1;20221110034;110034;ALVORADA D'OESTE;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0
2022;1;20221110037;110037;ALTO ALEGRE DOS PARECIS;0;0;0;0;4;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2022;1;20221110040;110040;ALTO PARAISO;0;0;0;0;9;1;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2022;1;20221110045;110045;BURITIS;0;0;0;0;30;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2022;1;20221110050;110050;NOVO HORIZONTE DO OESTE;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2022;1;20221110060;110060;CACAULANDIA;0;0;0;0;3;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2022;1;20221110070;110070;CAMPO NOVO DE RONDONIA;0;0;0;0;3;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2022;1;20221110080;110080;CANDEIAS DO JAMARI;0;0;0;0;14;1;0;0;0;0;0;1;0;0;0;1;1;2;0;0;0;0;0;0;0;0;0
2022;1;20221110090;110090;CASTANHEIRAS;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2022;1;20221110092;110092;CHUPINGUAIA;0;0;0;0;7;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2022;1;20221110094;110094;CUJUBIM;0;0;0;1;8;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2022;1;20221110100;110100;GOVERNADOR JORGE TEIXEIRA;0;0;0;0;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2022;1;20221110110;110110;ITAPUA DO OESTE;0;0;0;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2022;1;20221110120;110120;MINISTRO ANDREAZZA;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2022;1;20221110130;110130;MIRANTE DA SERRA;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
2022;1;20221110140;110140;MONTE NEGRO;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
