 Procedimentos hospitalares do SUS - por local de residência - Brasil
Média permanência por Município e Subgrupo proced.
Período:Abr-Jun/2019
"Município";"0201 Coleta de material";"0209 Diagnóstico por endoscopia";"0211 Métodos diagnósticos em especialidades";"0301 Consultas / Atendimentos / Acompanhamentos";"0303 Tratamentos clínicos (outras especialidades)";"0304 Tratamento em oncologia";"0305 Tratamento em nefrologia";"0308 Tratamento de lesões, envenenamentos e outros, decorrentes de causas externas";"0310 Parto e nascimento";"0401 Pequenas cirurgias e cirurgias de pele, tecido subcutâneo e mucosa";"0402 Cirurgia de glândulas endócrinas";"0403 Cirurgia do sistema nervoso central e periférico";"0404 Cirurgia das vias aéreas superiores, da face, da cabeça e do pescoço";"0405 Cirurgia do aparelho da visão";"0406 Cirurgia do aparelho circulatório";"0407 Cirurgia do aparelho digestivo, orgãos anexos e parede abdominal";"0408 Cirurgia do sistema osteomuscular";"0409 Cirurgia do aparelho geniturinário";"0410 Cirurgia de mama";"0411 Cirurgia obstétrica";"0412 Cirurgia torácica";"0413 Cirurgia reparadora";"0414 Bucomaxilofacial";"0415 Outras cirurgias";"0416 Cirurgia em oncologia";"0501 Coleta e exames para fins de doação de orgãos, tecidos e células e de transplante";"0503 Ações relacionadas à doação de orgãos e tecidos para transplante";"0504 Processamento de tecidos para transplante";"0505 Transplante de orgãos, tecidos e células";"0506 Acompanhamento e intercorrências no pré e pós-transplante";"Total"
"110001 ALTA FLORESTA D'OESTE";-;...;...;1,7;2,9;2,8;2,9;3,7;2,0;...;...;1,0;8,0;-;-;1,5;6,7;1,6;...;2,2;4,0;...;...;7,8;...;...;...;...;1,0;...;3,0
"110002 ARIQUEMES";...;...;...;1,0;5,0;7,7;5,1;5,3;1,4;1,4;2,0;6,5;0,4;0,4;13,8;2,3;3,7;2,0;1,0;2,3;6,0;1,7;-;5,0;8,0;...;-;...;2,0;10,5;3,8
"110003 CABIXI";...;...;...;1,7;3,1;9,0;6,0;1,0;1,2;...;...;3,0;...;...;...;...;2,1;...;...;2,5;6,5;...;...;25,5;-;...;...;...;...;...;3,3
"110004 CACOAL";11,0;...;24,0;1,6;4,3;4,6;8,2;5,5;1,6;1,6;1,2;7,9;7,4;8,8;11,9;2,6;7,0;2,4;1,8;2,5;7,9;5,0;1,5;9,2;2,9;...;-;...;...;...;4,4
"110005 CEREJEIRAS";...;...;...;3,5;4,0;7,1;2,8;5,0;1,9;-;1,0;...;9,0;5,0;3,0;3,5;11,0;2,8;3,0;3,2;2,2;2,0;1,0;12,0;5,5;...;...;...;...;...;4,1
"110006 COLORADO DO OESTE";...;...;...;2,3;4,1;2,7;2,8;5,1;1,4;0,5;...;6,5;20,0;-;26,7;3,2;7,8;2,2;...;2,1;3,5;...;...;4,0;5,3;...;...;...;...;...;4,1
"110007 CORUMBIARA";...;...;...;2,7;5,0;...;3,5;3,3;1,0;...;2,0;...;...;...;...;1,5;6,0;3,0;...;1,6;2,0;...;...;9,0;-;...;...;...;...;...;3,5
"110008 COSTA MARQUES";...;...;...;-;3,3;28,0;7,0;3,2;2,1;0,5;...;...;...;-;...;1,5;3,3;-;...;3,5;...;1,0;...;5,3;...;...;...;...;...;...;3,4
"110009 ESPIGAO D'OESTE";...;...;...;1,9;3,9;3,8;4,3;2,6;1,6;12,0;...;15,0;5,2;1,8;9,5;12,2;7,1;2,4;3,0;2,3;...;...;1,0;7,9;1,8;...;-;...;...;...;4,1
"110010 GUAJARA-MIRIM";...;...;...;1,5;5,4;4,3;6,0;7,6;1,6;1,6;1,0;2,0;7,3;0,5;13,8;5,1;5,8;3,8;-;2,9;18,0;...;...;5,5;2,0;...;0,5;...;13,0;4,8;4,6
