 Morbidade Hospitalar do SUS - por local de internação - São Paulo
Internações por Município
Período:2022
"Município";"Internações"
"350010 ADAMANTINA";4238
"350030 AGUAI";6
"350050 AGUAS DE LINDOIA";1114
"350070 AGUDOS";1245
"350100 ALTINOPOLIS";1156
"350110 ALTO ALEGRE";80
"350130 ALVARES MACHADO";640
"350160 AMERICANA";6349
"350170 AMERICO BRASILIENSE";6892
"350190 AMPARO";4299
"350210 ANDRADINA";2946
"350220 ANGATUBA";1537
"350250 APARECIDA";3723
"350260 APARECIDA D'OESTE";57
"350270 APIAI";2526
"350280 ARACATUBA";13175
"350310 ARANDU";94
"350320 ARARAQUARA";13799
"350330 ARARAS";6488
"350340 AREALVA";176
"350390 ARUJA";1728
"350400 ASSIS";8180
"350410 ATIBAIA";4016
"350420 AURIFLAMA";1330
"350450 AVARE";6339
"350520 BARIRI";1891
"350530 BARRA BONITA";1780
"350550 BARRETOS";25573
"350570 BARUERI";34816
"350580 BASTOS";1121
"350590 BATATAIS";4580
"350600 BAURU";37938
"350610 BEBEDOURO";2862
"350630 BERNARDINO DE CAMPOS";567
"350635 BERTIOGA";3047
"350640 BILAC";189
"350650 BIRIGUI";4712
"350670 BOA ESPERANCA DO SUL";39
"350680 BOCAINA";173
"350700 BOITUVA";2399
"350710 BOM JESUS DOS PERDOES";207
"350740 BORBOREMA";821
"350750 BOTUCATU";26166
"350760 BRAGANCA PAULISTA";16669
"350790 BROTAS";824
"350810 BURITAMA";603
"350840 CABREUVA";253
"350850 CACAPAVA";3172
"350860 CACHOEIRA PAULISTA";744
"350870 CACONDE";1093
"350880 CAFELANDIA";492
"350900 CAIEIRAS";4193
"350920 CAJAMAR";2099
"350930 CAJOBI";214
"350940 CAJURU";2785
"350950 CAMPINAS";78171
"350960 CAMPO LIMPO PAULISTA";3548
"350970 CAMPOS DO JORDAO";2611
"351000 CANDIDO MOTA";1795
"351020 CAPAO BONITO";2742
"351040 CAPIVARI";2468
"351050 CARAGUATATUBA";17085
"351060 CARAPICUIBA";18613
"351070 CARDOSO";420
"351080 CASA BRANCA";2053
"351100 CASTILHO";412
"351110 CATANDUVA";15604
"351140 CERQUEIRA CESAR";1099
"351150 CERQUILHO";619
"351160 CESARIO LANGE";432
"351170 CHARQUEADA";397
"351190 CLEMENTINA";265
"351200 COLINA";956
"351210 COLOMBIA";15
"351220 CONCHAL";1618
"351230 CONCHAS";433
"351280 COSMOPOLIS";1727
"351300 COTIA";12999
"351310 CRAVINHOS";528
"351340 CRUZEIRO";5054
"351350 CUBATAO";5205
"351360 CUNHA";1213
"351370 DESCALVADO";1615
"351380 DIADEMA";23552
"351390 DIVINOLANDIA";2939
"351410 DOIS CORREGOS";1301
"351440 DRACENA";3008
"351450 DUARTINA";1132
"351500 EMBU DAS ARTES";4099
"351510 EMBU-GUACU";1488
"351518 ESPIRITO SANTO DO PINHAL";3743
"351520 ESTRELA D'OESTE";349
"351540 FARTURA";810
"351550 FERNANDOPOLIS";4404
"351570 FERRAZ DE VASCONCELOS";10077
"351600 FLORIDA PAULISTA";723
"351620 FRANCA";21337
"351630 FRANCISCO MORATO";10568
"351640 FRANCO DA ROCHA";8107
"351660 GALIA";98
"351670 GARCA";2555
"351690 GENERAL SALGADO";319
"351740 GUAIRA";2006
"351760 GUAPIARA";424
"351770 GUARA";690
"351780 GUARACAI";416
"351820 GUARARAPES";1313
"351830 GUARAREMA";979
"351840 GUARATINGUETA";6209
"351860 GUARIBA";1368
"351870 GUARUJA";11465
"351880 GUARULHOS";46932
"351900 HERCULANDIA";735
"351907 HORTOLANDIA";4433
"351910 IACANGA";386
"351930 IBATE";890
"351940 IBIRA";426
"351960 IBITINGA";4216
"351970 IBIUNA";2492
"351990 IEPE";708
"352010 IGARAPAVA";1112
"352040 ILHABELA";3255
"352044 ILHA SOLTEIRA";1979
"352050 INDAIATUBA";15628
"352070 INDIAPORA";289
"352090 IPAUSSU";564
"352130 IPUA";630
"352170 ITABERA";608
"352180 ITAI";342
"352190 ITAJOBI";406
"352210 ITANHAEM";10079
"352220 ITAPECERICA DA SERRA";16452
"352230 ITAPETININGA";8808
"352240 ITAPEVA";8190
"352250 ITAPEVI";14942
"352260 ITAPIRA";5861
"352270 ITAPOLIS";3386
"352280 ITAPORANGA";1223
"352290 ITAPUI";228
"352310 ITAQUAQUECETUBA";14974
"352320 ITARARE";3723
"352340 ITATIBA";4763
"352350 ITATINGA";349
"352360 ITIRAPINA";173
"352390 ITU";8306
"352400 ITUPEVA";1405
"352410 ITUVERAVA";3566
"352420 JABORANDI";87
"352430 JABOTICABAL";2454
"352440 JACAREI";13433
"352450 JACI";389
"352470 JAGUARIUNA";3427
"352480 JALES";6693
"352520 JARINU";473
"352530 JAU";25970
"352550 JOANOPOLIS";216
"352570 JOSE BONIFACIO";1297
"352590 JUNDIAI";42220
"352600 JUNQUEIROPOLIS";1522
"352620 JUQUITIBA";5
"352640 LARANJAL PAULISTA";1450
"352670 LEME";5032
"352680 LENCOIS PAULISTA";2797
"352690 LIMEIRA";14768
"352710 LINS";6104
"352720 LORENA";6055
"352730 LOUVEIRA";2453
"352740 LUCELIA";494
"352800 MACATUBA";806
"352810 MACAUBAL";53
"352850 MAIRIPORA";2126
"352880 MARACAI";555
"352900 MARILIA";27447
"352920 MARTINOPOLIS";1747
"352930 MATAO";5225
"352940 MAUA";11913
"352970 MIGUELOPOLIS";1148
"353010 MIRANDOPOLIS";3259
"353030 MIRASSOL";1816
