 Procedimentos hospitalares do SUS - por local de residência - Brasil
Média permanência por Município e Subgrupo proced.
Período:Out-Dez/2020
"Município";"0201 Coleta de material";"0209 Diagnóstico por endoscopia";"0211 Métodos diagnósticos em especialidades";"0301 Consultas / Atendimentos / Acompanhamentos";"0303 Tratamentos clínicos (outras especialidades)";"0304 Tratamento em oncologia";"0305 Tratamento em nefrologia";"0308 Tratamento de lesões, envenenamentos e outros, decorrentes de causas externas";"0310 Parto e nascimento";"0401 Pequenas cirurgias e cirurgias de pele, tecido subcutâneo e mucosa";"0402 Cirurgia de glândulas endócrinas";"0403 Cirurgia do sistema nervoso central e periférico";"0404 Cirurgia das vias aéreas superiores, da face, da cabeça e do pescoço";"0405 Cirurgia do aparelho da visão";"0406 Cirurgia do aparelho circulatório";"0407 Cirurgia do aparelho digestivo, orgãos anexos e parede abdominal";"0408 Cirurgia do sistema osteomuscular";"0409 Cirurgia do aparelho geniturinário";"0410 Cirurgia de mama";"0411 Cirurgia obstétrica";"0412 Cirurgia torácica";"0413 Cirurgia reparadora";"0414 Bucomaxilofacial";"0415 Outras cirurgias";"0416 Cirurgia em oncologia";"0501 Coleta e exames para fins de doação de orgãos, tecidos e células e de transplante";"0503 Ações relacionadas à doação de orgãos e tecidos para transplante";"0504 Processamento de tecidos para transplante";"0505 Transplante de orgãos, tecidos e células";"0506 Acompanhamento e intercorrências no pré e pós-transplante";"Total"
"110001 ALTA FLORESTA D'OESTE";...;...;...;1,0;3,4;5,5;4,0;4,2;1,5;-;...;-;...;...;3,0;3,9;4,8;-;...;2,1;4,5;-;...;11,9;2,0;...;...;...;...;...;3,5
"110002 ARIQUEMES";...;...;...;0,4;4,3;4,9;3,5;3,9;1,7;4,0;...;9,9;0,2;67,0;4,0;3,9;4,2;2,0;1,0;1,8;5,2;1,6;...;6,7;2,7;...;-;...;2,0;8,0;3,8
"110003 CABIXI";...;...;...;2,0;3,4;3,0;2,0;5,5;2,7;...;...;...;...;...;...;6,5;3,0;2,5;...;1,6;...;...;...;1,0;...;...;...;...;...;...;3,1
"110004 CACOAL";10,0;...;...;1,5;5,6;4,4;5,6;3,9;2,0;5,0;1,0;10,3;4,3;1,0;0,2;5,6;7,5;4,5;2,0;2,5;9,7;5,4;...;11,5;4,7;...;3,0;...;10,5;19,3;5,0
"110005 CEREJEIRAS";...;...;...;1,4;4,6;2,5;3,2;6,5;1,7;1,5;...;14,0;5,0;...;-;4,2;6,6;8,5;...;2,3;19,5;...;...;2,3;3,5;...;-;...;...;...;4,3
"110006 COLORADO DO OESTE";...;...;...;1,6;5,5;2,5;2,8;4,6;1,3;-;...;...;...;...;15,5;2,3;5,3;1,6;...;1,3;6,0;...;...;4,3;3,5;...;...;...;...;14,8;4,7
"110007 CORUMBIARA";...;...;...;1,6;3,3;10,5;1,0;2,3;1,0;-;...;...;...;...;14,0;1,0;4,5;3,0;...;1,5;8,5;...;...;3,5;...;...;-;...;...;...;3,0
"110008 COSTA MARQUES";...;...;...;...;6,2;4,0;...;7,6;2,5;...;...;...;-;...;-;2,7;1,9;...;...;3,8;11,0;...;...;4,0;...;...;...;...;28,0;4,0;5,3
"110009 ESPIGAO D'OESTE";...;...;...;1,6;3,5;4,0;9,3;1,8;2,4;8,7;...;...;3,0;...;16,0;2,5;3,9;2,6;...;2,3;13,0;...;...;7,8;3,7;...;...;...;...;...;3,4
"110010 GUAJARA-MIRIM";...;...;...;2,3;4,7;3,2;2,9;5,3;1,6;-;...;2,2;-;...;...;2,7;5,5;3,7;3,0;2,8;4,5;...;...;3,6;2,1;...;...;...;7,0;...;3,9
