 Procedimentos hospitalares do SUS - por local de residência - Brasil
Média permanência por Município e Subgrupo proced.
Período:Abr-Jun/2020
"Município";"0201 Coleta de material";"0209 Diagnóstico por endoscopia";"0211 Métodos diagnósticos em especialidades";"0301 Consultas / Atendimentos / Acompanhamentos";"0303 Tratamentos clínicos (outras especialidades)";"0304 Tratamento em oncologia";"0305 Tratamento em nefrologia";"0308 Tratamento de lesões, envenenamentos e outros, decorrentes de causas externas";"0310 Parto e nascimento";"0401 Pequenas cirurgias e cirurgias de pele, tecido subcutâneo e mucosa";"0402 Cirurgia de glândulas endócrinas";"0403 Cirurgia do sistema nervoso central e periférico";"0404 Cirurgia das vias aéreas superiores, da face, da cabeça e do pescoço";"0405 Cirurgia do aparelho da visão";"0406 Cirurgia do aparelho circulatório";"0407 Cirurgia do aparelho digestivo, orgãos anexos e parede abdominal";"0408 Cirurgia do sistema osteomuscular";"0409 Cirurgia do aparelho geniturinário";"0410 Cirurgia de mama";"0411 Cirurgia obstétrica";"0412 Cirurgia torácica";"0413 Cirurgia reparadora";"0414 Bucomaxilofacial";"0415 Outras cirurgias";"0416 Cirurgia em oncologia";"0501 Coleta e exames para fins de doação de orgãos, tecidos e células e de transplante";"0503 Ações relacionadas à doação de orgãos e tecidos para transplante";"0505 Transplante de orgãos, tecidos e células";"0506 Acompanhamento e intercorrências no pré e pós-transplante";"Total"
"110001 ALTA FLORESTA D'OESTE";...;...;...;1,5;4,7;2,8;1,9;3,2;2,2;...;...;...;-;...;1,0;1,8;5,6;1,6;...;1,9;5,0;1,0;...;5,4;4,5;...;...;11,0;23,0;3,9
"110002 ARIQUEMES";...;...;...;1,0;5,3;5,5;3,9;3,2;1,3;21,8;...;8,7;3,3;-;12,0;1,6;4,4;2,2;-;1,7;3,9;2,6;...;5,3;2,3;...;-;6,0;...;4,2
"110003 CABIXI";...;...;...;1,7;3,2;3,7;5,6;20,5;1,2;...;...;22,7;...;...;...;2,0;4,1;...;...;2,5;...;...;...;5,0;...;...;...;...;...;3,8
"110004 CACOAL";4,0;...;...;1,7;5,8;5,7;6,2;5,6;2,0;2,8;...;12,1;5,0;1,0;16,2;3,4;6,3;4,1;2,0;2,5;7,8;11,3;...;7,8;2,6;...;1,0;...;...;5,1
"110005 CEREJEIRAS";...;...;...;1,5;5,0;8,0;5,7;4,5;1,3;...;...;...;...;...;...;4,3;5,2;0,7;...;1,7;12,5;...;...;17,3;...;...;...;...;...;4,2
"110006 COLORADO DO OESTE";...;...;...;2,1;5,4;8,5;6,0;5,0;1,2;...;...;...;-;...;3,0;2,3;2,5;2,5;...;2,3;6,0;...;...;6,7;1,5;...;...;...;...;4,2
"110007 CORUMBIARA";...;...;...;1,4;5,0;...;...;1,0;1,4;...;...;11,0;...;...;2,0;2,0;4,6;1,0;...;4,6;...;8,0;...;3,0;1,0;...;...;11,0;7,5;4,0
"110008 COSTA MARQUES";...;...;...;1,6;3,8;...;7,0;3,3;1,3;...;...;5,0;...;...;...;2,0;7,0;2,7;...;2,4;7,7;...;...;8,8;...;...;...;...;...;3,5
"110009 ESPIGAO D'OESTE";3,0;...;...;2,0;4,1;6,7;9,8;2,8;2,2;1,0;...;10,0;14,0;1,0;4,0;5,0;4,3;5,0;...;2,8;8,0;...;...;4,6;3,0;...;...;...;...;4,1
"110010 GUAJARA-MIRIM";43,0;...;...;1,7;6,0;36,0;13,8;5,2;1,4;...;...;10,4;7,0;...;26,5;4,3;2,9;2,0;2,0;2,3;-;...;...;6,8;5,7;...;...;22,0;6,0;5,0
"110011 JARU";...;...;2,0;1,0;5,8;4,3;8,7;5,1;1,3;-;...;16,0;...;0,3;8,5;6,4;7,5;2,5;...;1,6;3,4;2,0;...;7,6;4,0;...;...;...;...;4,2
"110012 JI-PARANA";...;...;...;2,6;5,5;4,3;4,4;6,0;1,8;7,1;1,0;9,5;3,5;-;1,5;3,9;5,3;4,1;-;2,3;2,6;...;...;5,0;2,7;2,0;...;...;...;4,0
"110013 MACHADINHO D'OESTE";...;...;...;1,0;7,1;14,8;2,4;5,1;1,8;1,6;...;5,7;...;10,0;...;1,9;3,9;2,0;1,0;2,1;...;2,0;...;1,5;...;...;-;11,0;...;4,3
"110014 NOVA BRASILANDIA D'OESTE";...;...;...;2,5;4,9;9,6;3,0;3,5;2,0;23,0;...;19,0;...;...;...;1,4;14,9;3,6;...;2,0;2,0;...;...;5,7;1,5;...;...;...;...;4,9
"110015 OURO PRETO DO OESTE";...;...;...;2,5;5,3;5,1;2,3;3,4;1,5;-;...;22,0;1,0;...;2,0;2,4;5,6;1,0;...;1,8;4,0;...;...;4,2;1,9;...;...;6,0;4,5;4,1
"110018 PIMENTA BUENO";...;...;...;1,8;3,3;4,6;3,1;2,1;2,1;2,0;...;3,8;8,4;...;26,0;8,2;4,4;2,0;-;2,0;...;...;...;5,8;3,0;...;...;...;...;3,5
"110020 PORTO VELHO";1,0;...;...;3,4;8,3;6,0;8,5;5,4;2,0;4,3;...;8,2;2,6;0,0;11,6;5,1;4,7;4,1;2,0;2,6;8,1;1,0;...;6,7;3,0;...;-;10,8;5,7;6,1
"110025 PRESIDENTE MEDICI";...;...;...;-;6,7;3,1;7,8;5,8;1,1;...;1,0;25,0;...;...;...;6,4;7,8;2,7;1,0;2,5;7,0;...;...;5,8;5,2;...;...;...;...;5,2
