 Procedimentos hospitalares do SUS - por local de residência - Brasil
Média permanência por Município e Subgrupo proced.
Período:Jul-Set/2022
"Município";"0201 Coleta de material";"0209 Diagnóstico por endoscopia";"0211 Métodos diagnósticos em especialidades";"0301 Consultas / Atendimentos / Acompanhamentos";"0303 Tratamentos clínicos (outras especialidades)";"0304 Tratamento em oncologia";"0305 Tratamento em nefrologia";"0308 Tratamento de lesões, envenenamentos e outros, decorrentes de causas externas";"0310 Parto e nascimento";"0401 Pequenas cirurgias e cirurgias de pele, tecido subcutâneo e mucosa";"0402 Cirurgia de glândulas endócrinas";"0403 Cirurgia do sistema nervoso central e periférico";"0404 Cirurgia das vias aéreas superiores, da face, da cabeça e do pescoço";"0405 Cirurgia do aparelho da visão";"0406 Cirurgia do aparelho circulatório";"0407 Cirurgia do aparelho digestivo, orgãos anexos e parede abdominal";"0408 Cirurgia do sistema osteomuscular";"0409 Cirurgia do aparelho geniturinário";"0410 Cirurgia de mama";"0411 Cirurgia obstétrica";"0412 Cirurgia torácica";"0413 Cirurgia reparadora";"0414 Bucomaxilofacial";"0415 Outras cirurgias";"0416 Cirurgia em oncologia";"0501 Coleta e exames para fins de doação de orgãos, tecidos e células e de transplante";"0503 Ações relacionadas à doação de orgãos e tecidos para transplante";"0504 Processamento de tecidos para transplante";"0505 Transplante de orgãos, tecidos e células";"0506 Acompanhamento e intercorrências no pré e pós-transplante";"Total"
"110001 ALTA FLORESTA D'OESTE";13,0;...;...;1,0;3,4;4,3;2,6;3,3;1,9;0,7;...;12,5;11,3;...;-;2,2;5,7;2,3;7,0;2,1;-;...;...;2,5;2,4;...;...;...;4,0;18,5;3,4
"110002 ARIQUEMES";-;...;5,0;0,5;4,9;7,1;6,1;3,4;1,4;2,1;2,8;6,9;5,8;1,0;2,5;2,2;4,7;1,4;2,0;2,9;8,0;2,3;...;5,5;1,6;...;...;...;6,5;11,0;3,9
"110003 CABIXI";...;...;...;1,0;4,1;...;3,8;4,0;1,0;-;...;...;...;...;...;2,3;4,1;-;...;2,0;4,0;...;...;3,0;1,5;...;...;...;...;14,0;4,1
"110004 CACOAL";...;...;...;1,8;4,5;6,8;4,6;5,1;2,2;1,8;2,3;17,0;6,5;...;4,0;3,4;5,7;2,4;1,5;2,4;4,0;4,5;-;5,1;6,5;2,0;9,0;...;1,5;13,0;4,2
"110005 CEREJEIRAS";...;...;...;2,4;4,4;7,0;3,1;9,8;1,6;...;1,5;...;12,0;...;2,0;2,3;6,3;1,6;...;1,8;10,0;...;...;8,4;2,5;...;...;...;...;...;4,1
"110006 COLORADO DO OESTE";...;...;...;2,0;5,8;9,0;3,3;30,0;1,9;1,0;1,0;10,0;2,7;...;4,0;6,4;4,7;7,0;...;2,2;...;...;...;7,6;2,0;...;...;...;...;...;5,2
"110007 CORUMBIARA";1,0;...;...;1,8;5,8;...;3,0;9,0;1,3;...;...;...;6,5;-;8,0;2,3;6,2;3,0;...;1,8;5,0;...;...;...;...;...;...;...;...;...;4,5
"110008 COSTA MARQUES";...;...;...;...;4,8;16,0;4,0;3,2;1,0;...;2,0;...;...;...;8,0;1,8;8,1;2,0;...;2,2;18,0;...;...;2,8;3,0;...;2,0;...;...;...;4,3
"110009 ESPIGAO D'OESTE";...;...;...;2,2;3,3;4,2;4,5;3,0;1,6;0,5;2,0;10,0;...;...;...;2,7;5,9;1,5;1,3;1,9;8,0;9,5;...;6,3;2,8;...;-;...;...;...;3,3
"110010 GUAJARA-MIRIM";...;...;...;1,4;4,5;5,8;2,8;5,0;1,3;...;...;18,0;...;2,0;-;3,7;7,2;1,8;-;2,4;7,0;...;...;4,5;0,5;...;-;...;...;9,0;4,0
"110011 JARU";...;...;...;1,8;6,6;6,7;7,4;8,2;1,2;0,3;2,5;6,3;2,0;...;0,8;2,1;5,4;1,7;0,5;2,0;2,7;...;...;6,0;2,9;...;...;...;2,0;...;3,8
"110012 JI-PARANA";2,0;...;...;0,9;4,6;6,9;4,0;3,9;1,5;1,6;1,5;14,1;11,1;...;5,0;2,7;6,1;1,9;2,0;2,0;4,5;4,3;-;5,7;5,0;...;-;...;-;8,5;3,9
"110013 MACHADINHO D'OESTE";13,0;...;...;0,9;5,6;4,8;4,1;5,3;1,2;-;...;6,4;14,8;2,0;0,5;3,3;5,3;3,2;...;2,3;7,2;...;...;9,9;0,8;...;...;...;...;14,0;4,6
"110014 NOVA BRASILANDIA D'OESTE";...;...;...;3,8;3,7;5,0;3,0;5,9;3,0;3,0;1,7;...;3,0;-;-;2,0;6,1;2,0;...;2,0;6,0;...;...;8,2;7,0;...;...;...;...;14,3;3,7
"110015 OURO PRETO DO OESTE";...;...;...;0,3;3,5;5,2;4,9;3,0;1,3;5,6;...;6,0;2,8;...;4,7;1,4;3,4;1,9;...;2,1;4,0;...;...;2,7;4,6;...;...;...;2,0;6,0;2,9
"110018 PIMENTA BUENO";...;...;...;2,0;2,6;5,6;2,3;2,6;3,0;1,0;1,8;...;1,0;...;22,0;1,1;5,4;1,2;1,0;2,0;-;...;...;3,1;2,0;...;...;...;...;...;2,5
"110020 PORTO VELHO";3,5;3,0;7,0;4,1;9,1;6,7;7,7;4,5;1,9;5,5;2,9;8,7;6,6;2,9;6,2;3,6;5,8;1,6;2,1;2,4;6,8;4,4;1,0;6,6;3,7;...;-;...;6,9;11,1;6,3
"110025 PRESIDENTE MEDICI";...;...;...;0,8;6,6;11,5;4,7;10,0;1,4;1,0;...;...;...;...;-;3,0;2,6;2,7;...;2,4;...;...;...;3,0;1,0;...;...;...;...;6,0;4,3
"110026 RIO CRESPO";...;...;...;1,0;4,5;3,5;2,0;10,0;1,0;-;...;...;...;...;1,0;1,5;2,6;-;...;1,0;...;...;...;12,0;2,0;...;...;...;...;...;3,4
"110028 ROLIM DE MOURA";4,0;...;...;1,5;4,9;5,4;5,0;6,1;2,1;9,3;2,0;43,0;1,0;...;15,0;4,0;5,5;2,1;...;2,3;1,0;17,0;...;7,8;2,2;...;...;...;...;12,0;4,3
"110029 SANTA LUZIA D'OESTE";...;...;...;1,0;5,1;3,0;4,0;4,0;...;-;...;20,0;...;...;...;3,7;8,0;2,3;...;2,1;...;...;...;1,9;1,0;...;...;...;...;...;4,7
"110030 VILHENA";...;...;4,0;2,4;6,1;8,7;4,7;5,7;1,7;2,8;2,8;9,1;5,8;-;1,8;3,5;6,2;2,2;1,0;2,1;9,0;12,0;1,0;3,9;1,9;...;-;...;3,5;10,0;4,5
"110032 SAO MIGUEL DO GUAPORE";...;...;...;2,7;3,7;4,0;3,5;4,0;1,3;-;...;1,0;2,0;...;...;1,9;5,3;2,3;...;2,2;...;...;1,0;2,2;1,0;...;...;...;...;...;3,2
"110033 NOVA MAMORE";...;...;...;1,0;4,9;3,4;3,7;3,1;1,5;0,7;...;4,0;16,5;...;...;2,8;3,0;2,3;2,0;2,5;...;...;...;3,0;9,2;...;-;...;...;...;3,9
"110034 ALVORADA D'OESTE";...;...;...;1,0;4,8;3,4;2,8;3,3;2,0;...;...;3,0;1,0;...;2,5;2,4;5,3;2,5;...;2,7;4,0;...;...;3,5;3,0;...;-;...;...;...;3,7
"110037 ALTO ALEGRE DOS PARECIS";...;...;...;0,3;3,7;2,6;2,9;8,0;2,0;1,0;...;2,0;...;...;-;2,4;6,8;3,5;2,0;2,4;...;...;...;1,8;2,0;...;...;...;2,0;...;3,5
"110040 ALTO PARAISO";...;...;...;2,1;4,9;5,0;3,2;3,5;1,1;6,0;...;...;...;...;3,0;2,2;5,5;1,0;...;1,3;6,5;2,0;...;7,0;1,5;...;-;...;...;6,5;4,0
"110045 BURITIS";...;...;...;0,5;4,0;4,8;5,3;3,4;1,3;0,5;...;6,0;10,3;-;1,0;3,2;3,9;3,4;2,0;2,7;2,5;5,0;...;6,4;5,0;...;...;...;1,0;...;3,9
"110050 NOVO HORIZONTE DO OESTE";...;...;...;1,0;3,7;3,0;2,7;13,3;1,7;1,0;...;5,0;5,0;...;...;2,1;3,3;2,1;...;2,3;...;...;...;4,0;8,0;...;-;...;...;...;3,7
"110060 CACAULANDIA";...;...;...;1,0;5,7;...;3,0;4,0;1,5;1,0;...;...;...;...;...;3,7;5,0;8,3;...;1,3;5,0;...;...;5,5;...;...;...;...;...;...;4,9
"110070 CAMPO NOVO DE RONDONIA";...;...;...;1,0;3,4;1,0;3,5;2,8;1,7;...;...;3,0;...;...;2,0;2,3;4,0;3,0;...;2,0;24,0;1,0;...;3,5;-;...;...;...;...;...;3,2
"110080 CANDEIAS DO JAMARI";...;...;...;1,0;8,3;8,8;16,0;4,5;2,1;1,5;...;5,0;6,0;...;1,0;4,7;5,8;0,9;1,0;2,8;...;...;...;5,8;2,0;...;...;...;14,0;...;6,3
"110090 CASTANHEIRAS";...;...;...;-;8,0;...;...;6,0;2,0;...;...;...;...;...;...;5,8;4,0;18,7;...;2,7;...;...;...;...;-;...;...;...;...;...;6,9
"110092 CHUPINGUAIA";...;...;...;4,3;5,7;4,3;...;9,3;1,3;...;1,0;...;...;...;5,0;5,4;8,1;2,0;...;2,0;1,0;...;...;10,8;3,5;...;...;...;...;29,0;5,4
"110094 CUJUBIM";...;...;...;0,4;2,7;8,7;0,7;3,1;1,6;-;...;...;...;...;15,0;4,5;3,0;2,5;...;2,6;7,5;...;...;5,1;12,0;...;...;...;...;...;2,8
"110100 GOVERNADOR JORGE TEIXEIRA";...;...;...;1,5;4,0;...;...;5,0;1,0;...;...;...;...;...;...;1,0;3,0;2,0;...;1,6;...;...;...;1,3;0,7;...;...;...;...;...;3,1
"110110 ITAPUA DO OESTE";...;...;...;1,0;6,0;...;8,2;4,4;2,0;...;...;...;...;...;...;4,3;12,7;1,5;...;4,0;...;...;...;3,9;...;...;-;...;...;...;5,4
"110120 MINISTRO ANDREAZZA";...;...;...;...;3,6;11,0;...;2,0;2,0;...;...;25,0;...;...;...;3,0;7,0;1,5;...;2,3;6,5;...;...;9,0;...;...;...;...;...;...;4,1
"110130 MIRANTE DA SERRA";...;...;...;1,0;3,9;10,0;2,5;2,5;1,0;...;...;...;...;...;...;1,2;5,3;1,0;...;2,1;8,0;...;...;66,0;-;...;...;...;1,0;...;4,2
"110140 MONTE NEGRO";...;...;...;-;5,4;8,0;5,6;5,2;1,3;1,0;...;...;...;...;-;2,9;4,0;1,4;4,0;2,0;...;-;...;8,1;2,0;...;...;...;-;...;4,4
"110143 NOVA UNIAO";...;...;...;...;5,1;6,0;2,0;...;1,0;2,0;...;...;2,0;...;1,0;1,4;4,7;0,8;...;9,4;...;...;...;6,7;0,8;...;...;...;...;...;4,8
"110145 PARECIS";...;...;...;1,2;1,8;...;...;1,7;3,0;-;...;...;-;...;...;1,0;7,0;3,0;...;2,0;...;...;...;2,0;...;...;...;...;...;...;1,8
"110146 PIMENTEIRAS DO OESTE";...;...;...;4,2;5,6;7,0;...;1,0;1,3;...;...;14,0;7,0;...;...;1,5;3,3;2,0;...;2,5;...;...;...;...;...;...;...;...;...;...;4,9
"110147 PRIMAVERA DE RONDONIA";...;...;...;1,0;6,0;7,0;...;2,3;...;...;...;2,0;...;...;21,0;1,3;...;0,5;-;2,0;...;...;...;0,8;2,0;...;...;...;...;...;4,1
"110148 SAO FELIPE D'OESTE";...;...;...;1,0;5,1;7,0;2,0;6,0;2,0;...;2,0;...;...;...;...;1,7;5,3;2,0;...;3,2;...;...;...;5,0;4,0;...;...;...;...;...;4,0
"110149 SAO FRANCISCO DO GUAPORE";...;...;...;1,5;4,1;7,0;1,0;5,2;1,5;2,4;...;...;3,0;-;1,0;3,2;6,4;3,6;...;1,9;8,0;7,0;...;2,8;...;...;...;...;...;4,0;3,5
"110150 SERINGUEIRAS";...;...;...;1,0;5,1;4,7;1,0;3,5;1,4;1,0;2,0;5,3;2,0;...;6,0;1,7;2,9;1,6;...;1,7;3,0;...;...;1,2;5,0;...;...;...;9,0;...;3,3
"110155 TEIXEIROPOLIS";...;...;...;...;7,0;...;3,0;...;1,0;1,0;...;...;...;...;...;1,3;...;1,3;...;1,9;...;...;...;...;...;...;...;...;...;...;3,5
"110160 THEOBROMA";...;...;...;4,8;7,5;2,0;3,0;4,8;32,5;...;...;...;...;...;...;2,1;4,0;2,0;...;2,0;...;...;...;10,8;1,0;...;...;...;...;...;6,5
"110170 URUPA";...;...;...;1,0;4,3;1,5;6,2;8,5;1,7;...;...;15,0;...;-;...;1,0;4,9;1,4;...;1,5;7,0;1,0;...;2,0;...;...;...;...;...;9,0;3,3
"110175 VALE DO ANARI";...;...;...;1,0;5,4;...;...;...;1,0;-;...;...;...;...;...;3,0;8,0;0,8;...;2,0;...;15,0;...;9,0;8,0;...;...;...;...;...;4,6
