 Procedimentos hospitalares do SUS - por local de residência - Brasil
Óbitos por Município e Subgrupo proced.
Período:Jul-Set/2020
"Município";"0201 Coleta de material";"0209 Diagnóstico por endoscopia";"0301 Consultas / Atendimentos / Acompanhamentos";"0303 Tratamentos clínicos (outras especialidades)";"0304 Tratamento em oncologia";"0305 Tratamento em nefrologia";"0308 Tratamento de lesões, envenenamentos e outros, decorrentes de causas externas";"0310 Parto e nascimento";"0401 Pequenas cirurgias e cirurgias de pele, tecido subcutâneo e mucosa";"0402 Cirurgia de glândulas endócrinas";"0403 Cirurgia do sistema nervoso central e periférico";"0404 Cirurgia das vias aéreas superiores, da face, da cabeça e do pescoço";"0406 Cirurgia do aparelho circulatório";"0407 Cirurgia do aparelho digestivo, orgãos anexos e parede abdominal";"0408 Cirurgia do sistema osteomuscular";"0409 Cirurgia do aparelho geniturinário";"0410 Cirurgia de mama";"0411 Cirurgia obstétrica";"0412 Cirurgia torácica";"0413 Cirurgia reparadora";"0414 Bucomaxilofacial";"0415 Outras cirurgias";"0416 Cirurgia em oncologia";"0505 Transplante de orgãos, tecidos e células";"0506 Acompanhamento e intercorrências no pré e pós-transplante";"Total"
"110001 ALTA FLORESTA D'OESTE";-;-;-;14;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;17
"110002 ARIQUEMES";-;-;-;63;5;4;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;74
"110003 CABIXI";-;-;-;7;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;8
"110004 CACOAL";-;-;-;36;18;2;4;-;-;-;-;-;1;1;-;-;-;-;4;-;-;5;-;-;-;71
"110005 CEREJEIRAS";-;-;-;6;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;8
"110006 COLORADO DO OESTE";-;-;-;6;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"110007 CORUMBIARA";-;-;-;1;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;1;-;-;-;4
"110008 COSTA MARQUES";-;-;-;8;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10
"110009 ESPIGAO D'OESTE";-;-;-;7;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10
"110010 GUAJARA-MIRIM";-;-;-;34;2;1;1;-;-;-;1;-;-;2;-;-;-;1;-;-;-;-;-;-;-;42
"110011 JARU";-;-;3;21;11;3;-;-;-;-;-;-;1;2;-;-;-;-;-;-;-;-;1;-;-;42
"110012 JI-PARANA";-;-;-;46;9;9;-;-;-;-;-;1;-;4;3;-;-;-;-;-;-;2;-;-;-;74
"110013 MACHADINHO D'OESTE";-;-;-;10;2;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;14
"110014 NOVA BRASILANDIA D'OESTE";-;-;-;12;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;13
"110015 OURO PRETO DO OESTE";-;-;-;16;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;19
"110018 PIMENTA BUENO";-;-;-;22;2;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;3;-;-;-;28
"110020 PORTO VELHO";-;-;1;432;33;13;4;1;-;-;9;2;3;9;3;2;-;2;1;-;-;10;-;-;-;525
"110025 PRESIDENTE MEDICI";-;-;-;11;2;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;15
"110028 ROLIM DE MOURA";-;-;1;22;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;24
"110029 SANTA LUZIA D'OESTE";-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"110030 VILHENA";-;-;1;91;9;3;-;-;-;-;-;3;-;1;1;-;-;1;-;-;-;1;-;-;-;111
"110032 SAO MIGUEL DO GUAPORE";-;-;-;13;-;1;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;16
"110033 NOVA MAMORE";-;-;-;12;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13
"110034 ALVORADA D'OESTE";-;-;-;7;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;9
"110037 ALTO ALEGRE DOS PARECIS";-;-;-;4;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;6
"110040 ALTO PARAISO";-;-;-;11;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;12
"110045 BURITIS";-;-;-;12;1;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;15
"110050 NOVO HORIZONTE DO OESTE";-;-;-;2;3;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"110060 CACAULANDIA";-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"110070 CAMPO NOVO DE RONDONIA";-;-;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"110080 CANDEIAS DO JAMARI";-;-;-;15;3;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2;-;-;1;23
"110090 CASTANHEIRAS";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"110092 CHUPINGUAIA";-;-;-;2;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;4
"110094 CUJUBIM";-;-;-;3;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;5
"110100 GOVERNADOR JORGE TEIXEIRA";-;-;-;2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"110110 ITAPUA DO OESTE";-;-;-;6;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;7
"110120 MINISTRO ANDREAZZA";-;-;-;5;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"110130 MIRANTE DA SERRA";-;-;-;4;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;6
"110140 MONTE NEGRO";-;-;-;8;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10
"110143 NOVA UNIAO";-;-;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;4
"110145 PARECIS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"110147 PRIMAVERA DE RONDONIA";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2
"110148 SAO FELIPE D'OESTE";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"110149 SAO FRANCISCO DO GUAPORE";-;-;-;9;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;12
"110150 SERINGUEIRAS";-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"110155 TEIXEIROPOLIS";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"110160 THEOBROMA";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"110170 URUPA";-;-;-;6;1;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;9
"110175 VALE DO ANARI";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"110180 VALE DO PARAISO";-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"120001 ACRELANDIA";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"120005 ASSIS BRASIL";-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"120010 BRASILEIA";-;-;-;15;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;18
"120013 BUJARI";-;-;-;3;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"120017 CAPIXABA";-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"120020 CRUZEIRO DO SUL";-;-;2;40;2;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;46
"120025 EPITACIOLANDIA";-;-;-;9;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9
"120030 FEIJO";-;-;1;7;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;9
"120032 JORDAO";-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"120033 MANCIO LIMA";-;-;-;8;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;9
"120034 MANOEL URBANO";-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;2
"120035 MARECHAL THAUMATURGO";-;-;-;2;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;3
"120038 PLACIDO DE CASTRO";-;-;-;6;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;7
"120039 PORTO WALTER";-;-;-;3;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;5
"120040 RIO BRANCO";-;-;2;198;21;6;3;-;-;-;5;1;7;6;5;3;-;-;2;-;-;4;2;-;-;265
"120042 RODRIGUES ALVES";-;-;-;6;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;8
"120043 SANTA ROSA DO PURUS";-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"120045 SENADOR GUIOMARD";-;-;-;8;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;10
"120050 SENA MADUREIRA";-;-;-;10;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11
"120060 TARAUACA";-;-;4;13;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;18
"120070 XAPURI";-;-;-;9;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;11
"120080 PORTO ACRE";-;-;1;7;1;-;-;-;-;-;1;-;1;-;1;-;-;-;-;-;-;-;-;-;-;12
"130002 ALVARAES";-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"130006 AMATURA";-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"130008 ANAMA";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"130010 ANORI";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"130014 APUI";-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"130020 ATALAIA DO NORTE";-;-;-;3;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"130030 AUTAZES";-;-;-;11;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;13
"130040 BARCELOS";-;-;-;5;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;6
"130050 BARREIRINHA";-;-;-;10;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11
"130060 BENJAMIN CONSTANT";-;-;-;9;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9
"130063 BERURI";-;-;-;3;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;5
"130068 BOA VISTA DO RAMOS";-;-;-;2;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;4
"130070 BOCA DO ACRE";-;-;-;9;2;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;12
"130080 BORBA";-;-;1;6;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;9
"130083 CAAPIRANGA";-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
