 Procedimentos hospitalares do SUS - por local de residência - Brasil
Óbitos por Município e Subgrupo proced.
Período:Out-Dez/2020
"Município";"0201 Coleta de material";"0209 Diagnóstico por endoscopia";"0211 Métodos diagnósticos em especialidades";"0301 Consultas / Atendimentos / Acompanhamentos";"0303 Tratamentos clínicos (outras especialidades)";"0304 Tratamento em oncologia";"0305 Tratamento em nefrologia";"0308 Tratamento de lesões, envenenamentos e outros, decorrentes de causas externas";"0310 Parto e nascimento";"0401 Pequenas cirurgias e cirurgias de pele, tecido subcutâneo e mucosa";"0402 Cirurgia de glândulas endócrinas";"0403 Cirurgia do sistema nervoso central e periférico";"0404 Cirurgia das vias aéreas superiores, da face, da cabeça e do pescoço";"0405 Cirurgia do aparelho da visão";"0406 Cirurgia do aparelho circulatório";"0407 Cirurgia do aparelho digestivo, orgãos anexos e parede abdominal";"0408 Cirurgia do sistema osteomuscular";"0409 Cirurgia do aparelho geniturinário";"0410 Cirurgia de mama";"0411 Cirurgia obstétrica";"0412 Cirurgia torácica";"0413 Cirurgia reparadora";"0414 Bucomaxilofacial";"0415 Outras cirurgias";"0416 Cirurgia em oncologia";"0505 Transplante de orgãos, tecidos e células";"0506 Acompanhamento e intercorrências no pré e pós-transplante";"Total"
"110001 ALTA FLORESTA D'OESTE";-;-;-;-;5;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;7
"110002 ARIQUEMES";-;-;-;-;71;4;5;1;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;84
"110003 CABIXI";-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"110004 CACOAL";-;-;-;-;31;6;3;2;-;-;-;1;-;-;-;2;-;-;-;-;-;-;-;3;3;-;-;51
"110005 CEREJEIRAS";-;-;-;-;7;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;8
"110006 COLORADO DO OESTE";-;-;-;-;8;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9
"110007 CORUMBIARA";-;-;-;-;1;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"110008 COSTA MARQUES";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"110009 ESPIGAO D'OESTE";-;-;-;-;14;4;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;19
"110010 GUAJARA-MIRIM";-;-;-;-;13;1;-;-;-;-;-;-;-;-;-;2;-;1;-;-;-;-;-;-;-;-;-;17
"110011 JARU";-;-;-;4;18;4;1;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;29
"110012 JI-PARANA";-;-;-;1;41;10;12;-;-;-;-;-;-;-;-;3;-;1;-;-;2;-;-;3;-;-;-;73
"110013 MACHADINHO D'OESTE";-;-;-;-;15;1;4;-;-;-;-;1;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;23
"110014 NOVA BRASILANDIA D'OESTE";-;-;-;-;6;1;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9
"110015 OURO PRETO DO OESTE";-;-;-;-;16;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;20
"110018 PIMENTA BUENO";-;-;-;-;16;2;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;20
"110020 PORTO VELHO";1;-;-;-;189;35;10;8;-;-;-;9;1;-;-;12;2;3;-;-;1;-;-;8;2;-;-;281
"110025 PRESIDENTE MEDICI";-;-;-;-;14;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;16
"110026 RIO CRESPO";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"110028 ROLIM DE MOURA";-;-;-;1;15;2;2;-;-;-;-;-;-;-;-;2;-;2;-;-;-;-;-;-;-;-;-;24
"110029 SANTA LUZIA D'OESTE";-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
