 Procedimentos hospitalares do SUS - por local de residência - Brasil
Óbitos por Município e Subgrupo proced.
Período:Abr-Jun/2021
"Município";"0201 Coleta de material";"0209 Diagnóstico por endoscopia";"0211 Métodos diagnósticos em especialidades";"0301 Consultas / Atendimentos / Acompanhamentos";"0303 Tratamentos clínicos (outras especialidades)";"0304 Tratamento em oncologia";"0305 Tratamento em nefrologia";"0308 Tratamento de lesões, envenenamentos e outros, decorrentes de causas externas";"0310 Parto e nascimento";"0401 Pequenas cirurgias e cirurgias de pele, tecido subcutâneo e mucosa";"0402 Cirurgia de glândulas endócrinas";"0403 Cirurgia do sistema nervoso central e periférico";"0404 Cirurgia das vias aéreas superiores, da face, da cabeça e do pescoço";"0405 Cirurgia do aparelho da visão";"0406 Cirurgia do aparelho circulatório";"0407 Cirurgia do aparelho digestivo, orgãos anexos e parede abdominal";"0408 Cirurgia do sistema osteomuscular";"0409 Cirurgia do aparelho geniturinário";"0410 Cirurgia de mama";"0411 Cirurgia obstétrica";"0412 Cirurgia torácica";"0413 Cirurgia reparadora";"0414 Bucomaxilofacial";"0415 Outras cirurgias";"0416 Cirurgia em oncologia";"0504 Processamento de tecidos para transplante";"0505 Transplante de orgãos, tecidos e células";"0506 Acompanhamento e intercorrências no pré e pós-transplante";"Total"
"110001 ALTA FLORESTA D'OESTE";-;-;-;-;29;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;31
"110002 ARIQUEMES";-;-;-;-;165;9;4;2;-;-;-;1;1;-;2;1;2;-;-;-;-;-;-;1;-;-;-;-;188
"110003 CABIXI";-;-;-;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"110004 CACOAL";-;-;-;-;78;16;4;2;-;-;-;-;1;-;-;-;1;-;-;-;1;-;-;4;-;-;-;-;107
"110005 CEREJEIRAS";-;-;-;-;32;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;33
"110006 COLORADO DO OESTE";-;-;-;-;18;1;-;-;-;-;-;1;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;22
"110007 CORUMBIARA";-;-;-;-;8;1;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;11
"110008 COSTA MARQUES";-;-;-;-;12;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;14
"110009 ESPIGAO D'OESTE";-;-;-;-;18;4;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;23
"110010 GUAJARA-MIRIM";-;-;-;-;28;2;1;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;34
"110011 JARU";-;-;-;-;51;8;2;1;-;-;-;-;1;-;-;1;-;-;-;-;1;-;-;2;-;-;-;-;67
"110012 JI-PARANA";-;-;-;-;183;11;4;1;-;-;-;-;1;-;-;5;2;1;-;-;1;-;-;1;-;-;-;-;210
"110013 MACHADINHO D'OESTE";-;-;-;-;27;1;1;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;34
"110014 NOVA BRASILANDIA D'OESTE";-;-;-;-;14;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;15
"110015 OURO PRETO DO OESTE";-;-;-;-;42;1;2;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;46
"110018 PIMENTA BUENO";-;-;-;-;41;4;3;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;49
"110020 PORTO VELHO";-;-;-;-;413;27;14;5;-;-;-;7;-;-;2;7;1;-;-;-;1;-;-;5;-;-;-;-;482
"110025 PRESIDENTE MEDICI";-;-;-;-;28;2;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;31
"110026 RIO CRESPO";-;-;-;-;5;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"110028 ROLIM DE MOURA";-;-;-;-;57;2;-;-;-;-;-;1;1;-;-;2;-;-;-;1;1;-;-;2;-;-;-;-;67
"110029 SANTA LUZIA D'OESTE";-;-;-;-;13;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;14
"110030 VILHENA";-;-;-;-;125;4;1;1;-;-;-;-;3;-;-;6;-;-;-;-;1;-;-;1;-;-;-;-;142
"110032 SAO MIGUEL DO GUAPORE";-;-;-;3;19;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;24
"110033 NOVA MAMORE";-;-;-;-;24;2;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;28
"110034 ALVORADA D'OESTE";-;-;-;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;11
"110037 ALTO ALEGRE DOS PARECIS";-;-;-;-;13;-;-;2;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;16
"110040 ALTO PARAISO";-;-;-;-;7;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;8
"110045 BURITIS";-;-;-;-;22;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;26
"110050 NOVO HORIZONTE DO OESTE";-;-;-;1;6;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8
"110060 CACAULANDIA";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"110070 CAMPO NOVO DE RONDONIA";-;-;-;-;11;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12
"110080 CANDEIAS DO JAMARI";-;-;-;-;17;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;21
"110090 CASTANHEIRAS";-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"110092 CHUPINGUAIA";-;-;-;-;4;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;7
"110094 CUJUBIM";-;-;-;-;14;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;15
"110100 GOVERNADOR JORGE TEIXEIRA";-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;4
"110110 ITAPUA DO OESTE";-;-;-;-;4;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"110120 MINISTRO ANDREAZZA";-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;7
"110130 MIRANTE DA SERRA";-;-;-;-;9;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10
"110140 MONTE NEGRO";-;-;-;-;13;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13
"110146 PIMENTEIRAS DO OESTE";-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"110147 PRIMAVERA DE RONDONIA";-;-;-;-;2;2;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;6
"110148 SAO FELIPE D'OESTE";-;-;-;-;3;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"110149 SAO FRANCISCO DO GUAPORE";-;-;-;-;18;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;20
"110150 SERINGUEIRAS";-;-;-;-;8;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;10
"110155 TEIXEIROPOLIS";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"110160 THEOBROMA";-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"110170 URUPA";-;-;-;-;19;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20
"110175 VALE DO ANARI";-;-;-;-;9;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;10
"110180 VALE DO PARAISO";-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"120001 ACRELANDIA";-;-;-;-;7;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8
"120005 ASSIS BRASIL";-;-;-;-;3;1;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;6
"120010 BRASILEIA";-;-;-;-;23;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;25
"120013 BUJARI";-;-;-;-;3;2;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"120017 CAPIXABA";-;-;-;-;7;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;8
"120020 CRUZEIRO DO SUL";-;-;-;1;56;2;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;61
"120025 EPITACIOLANDIA";-;-;-;-;13;2;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;18
"120030 FEIJO";-;-;-;-;14;2;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;18
"120032 JORDAO";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"120033 MANCIO LIMA";-;-;-;-;11;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12
"120034 MANOEL URBANO";-;-;-;-;9;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;10
"120035 MARECHAL THAUMATURGO";-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"120038 PLACIDO DE CASTRO";-;-;-;-;16;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;18
"120039 PORTO WALTER";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"120040 RIO BRANCO";-;-;-;2;337;25;13;4;-;-;-;7;-;-;1;9;3;-;-;1;3;-;-;3;3;-;-;2;413
"120042 RODRIGUES ALVES";-;-;-;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"120043 SANTA ROSA DO PURUS";-;-;-;-;3;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"120045 SENADOR GUIOMARD";-;-;-;2;15;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;20
"120050 SENA MADUREIRA";-;-;-;2;34;2;2;1;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;43
"120060 TARAUACA";-;-;-;2;27;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;30
"120070 XAPURI";-;-;-;-;9;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10
"120080 PORTO ACRE";-;-;-;-;8;2;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;12
"130002 ALVARAES";-;-;-;-;7;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8
"130008 ANAMA";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"130010 ANORI";-;-;-;-;4;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"130014 APUI";-;-;-;-;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8
"130020 ATALAIA DO NORTE";-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
