 Procedimentos hospitalares do SUS - por local de residência - Brasil
Óbitos por Município e Subgrupo proced.
Período:Jul-Set/2021
"Município";"0201 Coleta de material";"0209 Diagnóstico por endoscopia";"0211 Métodos diagnósticos em especialidades";"0301 Consultas / Atendimentos / Acompanhamentos";"0303 Tratamentos clínicos (outras especialidades)";"0304 Tratamento em oncologia";"0305 Tratamento em nefrologia";"0308 Tratamento de lesões, envenenamentos e outros, decorrentes de causas externas";"0310 Parto e nascimento";"0401 Pequenas cirurgias e cirurgias de pele, tecido subcutâneo e mucosa";"0402 Cirurgia de glândulas endócrinas";"0403 Cirurgia do sistema nervoso central e periférico";"0404 Cirurgia das vias aéreas superiores, da face, da cabeça e do pescoço";"0405 Cirurgia do aparelho da visão";"0406 Cirurgia do aparelho circulatório";"0407 Cirurgia do aparelho digestivo, orgãos anexos e parede abdominal";"0408 Cirurgia do sistema osteomuscular";"0409 Cirurgia do aparelho geniturinário";"0410 Cirurgia de mama";"0411 Cirurgia obstétrica";"0412 Cirurgia torácica";"0413 Cirurgia reparadora";"0414 Bucomaxilofacial";"0415 Outras cirurgias";"0416 Cirurgia em oncologia";"0504 Processamento de tecidos para transplante";"0505 Transplante de orgãos, tecidos e células";"0506 Acompanhamento e intercorrências no pré e pós-transplante";"Total"
"110001 ALTA FLORESTA D'OESTE";-;-;-;-;9;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;11
"110002 ARIQUEMES";-;-;-;-;66;6;1;2;-;-;-;2;1;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;80
"110003 CABIXI";-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;6
"110004 CACOAL";-;-;-;1;48;9;2;4;-;-;-;-;-;-;-;3;-;-;-;-;2;-;-;-;1;-;-;-;70
"110005 CEREJEIRAS";-;-;-;-;8;-;1;-;-;-;-;-;-;-;-;1;2;-;-;-;-;-;-;1;-;-;-;-;13
"110006 COLORADO DO OESTE";-;-;-;-;14;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;16
"110007 CORUMBIARA";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;3
"110008 COSTA MARQUES";-;-;-;-;6;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"110009 ESPIGAO D'OESTE";-;-;-;-;16;4;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;23
"110010 GUAJARA-MIRIM";-;-;-;-;8;2;1;1;-;-;-;-;-;-;1;3;1;-;-;-;-;-;-;4;-;-;-;-;21
"110011 JARU";-;-;-;1;33;9;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2;-;-;-;-;46
"110012 JI-PARANA";-;-;-;-;72;8;5;-;-;-;-;1;1;-;-;1;2;1;-;-;1;-;-;-;-;-;-;-;92
"110013 MACHADINHO D'OESTE";-;-;-;-;10;2;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;14
"110014 NOVA BRASILANDIA D'OESTE";-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;6
"110015 OURO PRETO DO OESTE";-;-;-;-;18;3;2;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;25
"110018 PIMENTA BUENO";-;-;-;-;24;4;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;31
"110020 PORTO VELHO";-;-;-;2;226;42;5;3;-;-;-;5;2;-;2;15;3;-;-;1;3;-;-;10;-;-;1;1;321
"110025 PRESIDENTE MEDICI";-;-;-;-;13;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;15
"110028 ROLIM DE MOURA";-;-;-;-;33;1;-;2;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;2;-;-;-;40
"110029 SANTA LUZIA D'OESTE";-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"110030 VILHENA";-;-;-;-;70;1;1;-;-;-;-;-;4;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;77
"110032 SAO MIGUEL DO GUAPORE";-;-;-;-;12;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13
