 Procedimentos hospitalares do SUS - por local de residência - Brasil
Óbitos por Município e Subgrupo proced.
Período:Out-Dez/2021
"Município";"0201 Coleta de material";"0209 Diagnóstico por endoscopia";"0211 Métodos diagnósticos em especialidades";"0301 Consultas / Atendimentos / Acompanhamentos";"0303 Tratamentos clínicos (outras especialidades)";"0304 Tratamento em oncologia";"0305 Tratamento em nefrologia";"0308 Tratamento de lesões, envenenamentos e outros, decorrentes de causas externas";"0310 Parto e nascimento";"0401 Pequenas cirurgias e cirurgias de pele, tecido subcutâneo e mucosa";"0402 Cirurgia de glândulas endócrinas";"0403 Cirurgia do sistema nervoso central e periférico";"0404 Cirurgia das vias aéreas superiores, da face, da cabeça e do pescoço";"0405 Cirurgia do aparelho da visão";"0406 Cirurgia do aparelho circulatório";"0407 Cirurgia do aparelho digestivo, orgãos anexos e parede abdominal";"0408 Cirurgia do sistema osteomuscular";"0409 Cirurgia do aparelho geniturinário";"0411 Cirurgia obstétrica";"0412 Cirurgia torácica";"0413 Cirurgia reparadora";"0414 Bucomaxilofacial";"0415 Outras cirurgias";"0416 Cirurgia em oncologia";"0504 Processamento de tecidos para transplante";"0505 Transplante de orgãos, tecidos e células";"0506 Acompanhamento e intercorrências no pré e pós-transplante";"Total"
"110001 ALTA FLORESTA D'OESTE";-;-;-;-;8;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;10
"110002 ARIQUEMES";-;-;-;-;45;6;-;-;-;-;-;2;-;-;1;2;-;-;-;-;-;-;1;-;-;-;-;57
"110003 CABIXI";-;-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"110004 CACOAL";-;-;-;1;27;9;-;3;-;-;-;-;-;-;-;3;1;-;-;-;-;-;3;-;-;-;-;47
"110005 CEREJEIRAS";-;-;-;-;9;2;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;1;-;-;-;-;14
"110006 COLORADO DO OESTE";-;-;-;-;10;-;1;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;13
"110007 CORUMBIARA";-;-;-;-;3;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"110008 COSTA MARQUES";-;-;-;-;4;2;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;8
"110009 ESPIGAO D'OESTE";-;-;-;-;11;2;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;2;1;-;-;-;17
"110010 GUAJARA-MIRIM";-;-;-;-;19;1;-;1;-;-;-;-;-;-;-;1;1;1;-;-;-;-;-;-;-;-;-;24
"110011 JARU";-;-;-;8;26;6;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;42
"110012 JI-PARANA";-;-;-;-;70;9;10;-;-;-;-;-;1;-;1;2;1;-;-;1;-;-;-;-;-;-;-;95
"110013 MACHADINHO D'OESTE";-;-;-;-;15;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20
"110014 NOVA BRASILANDIA D'OESTE";-;-;-;-;11;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12
"110015 OURO PRETO DO OESTE";-;-;-;-;18;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;21
"110018 PIMENTA BUENO";-;-;-;-;12;-;1;2;-;-;-;1;-;-;-;1;-;-;-;-;-;-;1;1;-;-;-;19
"110020 PORTO VELHO";-;-;-;-;211;38;11;3;-;-;-;2;-;-;4;10;2;2;-;-;-;-;13;-;-;-;1;297
"110025 PRESIDENTE MEDICI";-;-;-;-;7;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;9
"110026 RIO CRESPO";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"110028 ROLIM DE MOURA";-;-;-;-;20;1;-;2;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;1;26
"110029 SANTA LUZIA D'OESTE";-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;4
"110030 VILHENA";-;-;-;-;56;5;2;-;-;-;-;-;6;-;-;1;1;-;-;-;-;-;1;1;-;-;-;73
"110032 SAO MIGUEL DO GUAPORE";-;-;-;1;9;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;11
"110033 NOVA MAMORE";-;-;-;-;8;2;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;12
"110034 ALVORADA D'OESTE";-;-;-;-;3;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"110037 ALTO ALEGRE DOS PARECIS";-;-;-;1;3;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"110040 ALTO PARAISO";-;-;-;-;10;2;1;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;15
"110045 BURITIS";-;-;-;-;23;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;25
"110050 NOVO HORIZONTE DO OESTE";-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"110060 CACAULANDIA";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"110070 CAMPO NOVO DE RONDONIA";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
